game_pk,game_date,bucket,pitch_name
778514,2025-03-30,Inning_3_leadoff,SL
778514,2025-03-30,Inning_2_leadoff,SL
778514,2025-03-30,Batter_3,CU
778514,2025-03-30,Batter_2,FF
778451,2025-04-05,Inning_3_leadoff,FS
778451,2025-04-05,Inning_2_leadoff,FF
778451,2025-04-05,Batter_3,FF
778451,2025-04-05,Batter_2,FF
778353,2025-04-12,Inning_3_leadoff,FF
778353,2025-04-12,Inning_2_leadoff,CU
778353,2025-04-12,Batter_3,SL
778353,2025-04-12,Batter_2,FF
778120,2025-04-29,Inning_3_leadoff,FF
778120,2025-04-29,Inning_2_leadoff,CU
778120,2025-04-29,Batter_3,FF
778120,2025-04-29,Batter_2,FF
778049,2025-05-05,Inning_3_leadoff,FF
778049,2025-05-05,Inning_2_leadoff,FF
778049,2025-05-05,Batter_3,CU
778049,2025-05-05,Batter_2,FF
777985,2025-05-10,Inning_3_leadoff,FF
777985,2025-05-10,Inning_2_leadoff,FF
777985,2025-05-10,Batter_3,FF
777985,2025-05-10,Batter_2,FF
777909,2025-05-15,Inning_3_leadoff,CU
777909,2025-05-15,Inning_2_leadoff,FF
777909,2025-05-15,Batter_3,CU
777909,2025-05-15,Batter_2,FF
777820,2025-05-22,Inning_3_leadoff,FF
777820,2025-05-22,Inning_2_leadoff,FF
777820,2025-05-22,Batter_3,FF
777820,2025-05-22,Batter_2,CU
777735,2025-05-29,Inning_3_leadoff,FF
777735,2025-05-29,Inning_2_leadoff,CU
777735,2025-05-29,Batter_3,FF
777735,2025-05-29,Batter_2,FF
