bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,40.0
Batter_1,Sinker,9,60.0
Batter_2,4-Seam Fastball,1,6.7
Batter_2,Curveball,3,20.0
Batter_2,Cutter,8,53.3
Batter_2,Sinker,3,20.0
Batter_3,Curveball,4,26.7
Batter_3,Cutter,7,46.7
Batter_3,Sinker,4,26.7
Inning_2_leadoff,4-Seam Fastball,1,6.7
Inning_2_leadoff,Curveball,2,13.3
Inning_2_leadoff,Cutter,4,26.7
Inning_2_leadoff,Sinker,8,53.3
Inning_3_leadoff,4-Seam Fastball,1,6.7
Inning_3_leadoff,Cutter,10,66.7
Inning_3_leadoff,Sinker,3,20.0
Inning_3_leadoff,Slider,1,6.7
