bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,21,91.3
Batter_1,Sinker,2,8.7
Batter_2,4-Seam Fastball,18,78.3
Batter_2,Changeup,2,8.7
Batter_2,Knuckle Curve,2,8.7
Batter_2,Sinker,1,4.3
Batter_3,4-Seam Fastball,9,39.1
Batter_3,Changeup,3,13.0
Batter_3,Knuckle Curve,4,17.4
Batter_3,Sinker,7,30.4
Inning_2_leadoff,4-Seam Fastball,14,60.9
Inning_2_leadoff,Changeup,2,8.7
Inning_2_leadoff,Knuckle Curve,5,21.7
Inning_2_leadoff,Sinker,2,8.7
Inning_3_leadoff,4-Seam Fastball,7,30.4
Inning_3_leadoff,Changeup,5,21.7
Inning_3_leadoff,Knuckle Curve,9,39.1
Inning_3_leadoff,Sinker,2,8.7
