bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,2,11.1
Batter_1,Sinker,16,88.9
Batter_2,Curveball,5,27.8
Batter_2,Sinker,12,66.7
Batter_2,Slider,1,5.6
Batter_3,4-Seam Fastball,2,11.1
Batter_3,Changeup,1,5.6
Batter_3,Curveball,2,11.1
Batter_3,Sinker,12,66.7
Batter_3,Slider,1,5.6
Inning_2_leadoff,Curveball,4,22.2
Inning_2_leadoff,Sinker,14,77.8
Inning_3_leadoff,4-Seam Fastball,2,11.1
Inning_3_leadoff,Changeup,1,5.6
Inning_3_leadoff,Curveball,2,11.1
Inning_3_leadoff,Sinker,11,61.1
Inning_3_leadoff,Slider,2,11.1
