game_pk,game_date,bucket,pitch_name
778357,2025-04-12,Inning_3_leadoff,FF
778357,2025-04-12,Inning_2_leadoff,FF
778357,2025-04-12,Batter_3,CU
778357,2025-04-12,Batter_2,FC
778276,2025-04-18,Inning_3_leadoff,FF
778276,2025-04-18,Inning_2_leadoff,FF
778276,2025-04-18,Batter_3,CU
778276,2025-04-18,Batter_2,ST
778181,2025-04-25,Inning_3_leadoff,CU
778181,2025-04-25,Inning_2_leadoff,CU
778181,2025-04-25,Batter_3,CU
778181,2025-04-25,Batter_2,FF
778107,2025-05-01,Inning_3_leadoff,FF
778107,2025-05-01,Inning_2_leadoff,CH
778107,2025-05-01,Batter_3,FF
778107,2025-05-01,Batter_2,FF
778034,2025-05-06,Inning_3_leadoff,FF
778034,2025-05-06,Inning_2_leadoff,FF
778034,2025-05-06,Batter_3,FF
778034,2025-05-06,Batter_2,CU
777945,2025-05-13,Inning_3_leadoff,FF
777945,2025-05-13,Inning_2_leadoff,ST
777945,2025-05-13,Batter_3,FF
777945,2025-05-13,Batter_2,FF
777874,2025-05-18,Inning_3_leadoff,CU
777874,2025-05-18,Inning_2_leadoff,CU
777874,2025-05-18,Batter_3,CU
777874,2025-05-18,Batter_2,FF
777791,2025-05-24,Inning_3_leadoff,FF
777791,2025-05-24,Inning_2_leadoff,FF
777791,2025-05-24,Batter_3,FF
777791,2025-05-24,Batter_2,ST
777712,2025-05-30,Inning_3_leadoff,FF
777712,2025-05-30,Inning_2_leadoff,CU
777712,2025-05-30,Batter_3,FF
777712,2025-05-30,Batter_2,ST
777647,2025-06-04,Inning_3_leadoff,CU
777647,2025-06-04,Inning_2_leadoff,CU
777647,2025-06-04,Batter_3,CU
777647,2025-06-04,Batter_2,CU
777569,2025-06-10,Inning_3_leadoff,ST
777569,2025-06-10,Inning_2_leadoff,FF
777569,2025-06-10,Batter_3,FF
777569,2025-06-10,Batter_2,FF
777478,2025-06-17,Inning_3_leadoff,FF
777478,2025-06-17,Inning_2_leadoff,FF
777478,2025-06-17,Batter_3,FF
777478,2025-06-17,Batter_2,FF
777407,2025-06-22,Inning_3_leadoff,CU
777407,2025-06-22,Inning_2_leadoff,CU
777407,2025-06-22,Batter_3,FF
777407,2025-06-22,Batter_2,FF
777328,2025-06-28,Inning_3_leadoff,ST
777328,2025-06-28,Inning_2_leadoff,FF
777328,2025-06-28,Batter_3,FF
777328,2025-06-28,Batter_2,FF
