bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,94.1
Batter_1,Curveball,1,5.9
Batter_2,4-Seam Fastball,11,64.7
Batter_2,Changeup,1,5.9
Batter_2,Curveball,4,23.5
Batter_2,Sweeper,1,5.9
Batter_3,4-Seam Fastball,8,50.0
Batter_3,Curveball,6,37.5
Batter_3,Sweeper,2,12.5
Inning_2_leadoff,4-Seam Fastball,12,70.6
Inning_2_leadoff,Curveball,3,17.6
Inning_2_leadoff,Sweeper,2,11.8
Inning_3_leadoff,4-Seam Fastball,8,47.1
Inning_3_leadoff,Changeup,1,5.9
Inning_3_leadoff,Curveball,7,41.2
Inning_3_leadoff,Cutter,1,5.9
