game_pk,game_date,bucket,pitch_name
822727,2026-06-03,Inning_3_leadoff,Curveball
822727,2026-06-03,Inning_2_leadoff,Slider
822727,2026-06-03,Batter_3,Slider
822727,2026-06-03,Batter_2,Sinker
822727,2026-06-03,Batter_1,4-Seam Fastball
823214,2026-06-09,Inning_3_leadoff,Sinker
823214,2026-06-09,Inning_2_leadoff,Sinker
823214,2026-06-09,Batter_3,Slider
823214,2026-06-09,Batter_2,Sinker
823214,2026-06-09,Batter_1,4-Seam Fastball
822724,2026-06-15,Inning_3_leadoff,Slider
822724,2026-06-15,Inning_2_leadoff,4-Seam Fastball
822724,2026-06-15,Batter_3,Sinker
822724,2026-06-15,Batter_2,Sinker
822724,2026-06-15,Batter_1,Slider
822968,2026-06-21,Inning_3_leadoff,Slider
822968,2026-06-21,Inning_2_leadoff,4-Seam Fastball
822968,2026-06-21,Batter_3,4-Seam Fastball
822968,2026-06-21,Batter_2,4-Seam Fastball
822968,2026-06-21,Batter_1,Sinker
824824,2026-06-26,Inning_3_leadoff,Sinker
824824,2026-06-26,Inning_2_leadoff,Slider
824824,2026-06-26,Batter_3,Slider
824824,2026-06-26,Batter_2,4-Seam Fastball
824824,2026-06-26,Batter_1,Slider
822713,2026-07-07,Inning_3_leadoff,Changeup
822713,2026-07-07,Inning_2_leadoff,4-Seam Fastball
822713,2026-07-07,Batter_3,4-Seam Fastball
822713,2026-07-07,Batter_2,Curveball
822713,2026-07-07,Batter_1,Sinker
