game_pk,game_date,bucket,pitch_name
823485,2026-03-31,Inning_3_leadoff,4-Seam Fastball
823485,2026-03-31,Inning_2_leadoff,4-Seam Fastball
823485,2026-03-31,Batter_3,Curveball
823485,2026-03-31,Batter_2,4-Seam Fastball
823485,2026-03-31,Batter_1,4-Seam Fastball
823237,2026-04-06,Inning_3_leadoff,Slider
823237,2026-04-06,Inning_2_leadoff,4-Seam Fastball
823237,2026-04-06,Batter_3,4-Seam Fastball
823237,2026-04-06,Batter_2,4-Seam Fastball
823237,2026-04-06,Batter_1,4-Seam Fastball
823475,2026-04-19,Inning_3_leadoff,4-Seam Fastball
823475,2026-04-19,Inning_2_leadoff,4-Seam Fastball
823475,2026-04-19,Batter_3,4-Seam Fastball
823475,2026-04-19,Batter_2,4-Seam Fastball
823475,2026-04-19,Batter_1,4-Seam Fastball
824932,2026-04-24,Inning_3_leadoff,4-Seam Fastball
824932,2026-04-24,Inning_2_leadoff,4-Seam Fastball
824932,2026-04-24,Batter_3,4-Seam Fastball
824932,2026-04-24,Batter_2,4-Seam Fastball
824932,2026-04-24,Batter_1,4-Seam Fastball
823876,2026-05-02,Inning_3_leadoff,Slider
823876,2026-05-02,Inning_2_leadoff,4-Seam Fastball
823876,2026-05-02,Batter_3,4-Seam Fastball
823876,2026-05-02,Batter_2,4-Seam Fastball
823876,2026-05-02,Batter_1,4-Seam Fastball
823467,2026-05-07,Inning_3_leadoff,Slider
823467,2026-05-07,Inning_2_leadoff,Sinker
823467,2026-05-07,Batter_3,Sweeper
823467,2026-05-07,Batter_2,Sweeper
823467,2026-05-07,Batter_1,4-Seam Fastball
824763,2026-05-13,Inning_3_leadoff,Slider
824763,2026-05-13,Inning_2_leadoff,4-Seam Fastball
824763,2026-05-13,Batter_3,4-Seam Fastball
824763,2026-05-13,Batter_2,4-Seam Fastball
824763,2026-05-13,Batter_1,4-Seam Fastball
823465,2026-05-18,Inning_3_leadoff,4-Seam Fastball
823465,2026-05-18,Inning_2_leadoff,Sweeper
823465,2026-05-18,Batter_3,4-Seam Fastball
823465,2026-05-18,Batter_2,4-Seam Fastball
823465,2026-05-18,Batter_1,4-Seam Fastball
823459,2026-05-24,Inning_3_leadoff,Slider
823459,2026-05-24,Inning_2_leadoff,4-Seam Fastball
823459,2026-05-24,Batter_3,4-Seam Fastball
823459,2026-05-24,Batter_2,4-Seam Fastball
823459,2026-05-24,Batter_1,4-Seam Fastball
823944,2026-05-31,Inning_3_leadoff,Sweeper
823944,2026-05-31,Inning_2_leadoff,Slider
823944,2026-05-31,Batter_3,Slider
823944,2026-05-31,Batter_2,Slider
823944,2026-05-31,Batter_1,4-Seam Fastball
823454,2026-06-06,Inning_3_leadoff,Split-Finger
823454,2026-06-06,Inning_2_leadoff,Sinker
823454,2026-06-06,Batter_3,Sinker
823454,2026-06-06,Batter_2,4-Seam Fastball
823454,2026-06-06,Batter_1,4-Seam Fastball
823450,2026-06-17,Inning_2_leadoff,Curveball
823450,2026-06-17,Batter_3,4-Seam Fastball
823450,2026-06-17,Batter_2,4-Seam Fastball
823450,2026-06-17,Batter_1,4-Seam Fastball
