bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,100.0
Batter_2,4-Seam Fastball,13,68.4
Batter_2,Sinker,1,5.3
Batter_2,Slider,2,10.5
Batter_2,Sweeper,3,15.8
Batter_3,4-Seam Fastball,12,63.2
Batter_3,Curveball,1,5.3
Batter_3,Sinker,1,5.3
Batter_3,Slider,2,10.5
Batter_3,Sweeper,3,15.8
Inning_2_leadoff,4-Seam Fastball,12,63.2
Inning_2_leadoff,Curveball,1,5.3
Inning_2_leadoff,Sinker,3,15.8
Inning_2_leadoff,Slider,1,5.3
Inning_2_leadoff,Sweeper,2,10.5
Inning_3_leadoff,4-Seam Fastball,8,44.4
Inning_3_leadoff,Sinker,1,5.6
Inning_3_leadoff,Slider,6,33.3
Inning_3_leadoff,Split-Finger,1,5.6
Inning_3_leadoff,Sweeper,2,11.1
