bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,20,80.0
Batter_1,Cutter,2,8.0
Batter_1,Sinker,3,12.0
Batter_2,4-Seam Fastball,6,24.0
Batter_2,Cutter,6,24.0
Batter_2,Sinker,7,28.0
Batter_2,Slider,1,4.0
Batter_2,Sweeper,5,20.0
Batter_3,4-Seam Fastball,4,16.0
Batter_3,Changeup,1,4.0
Batter_3,Cutter,6,24.0
Batter_3,Sinker,6,24.0
Batter_3,Sweeper,8,32.0
Inning_2_leadoff,4-Seam Fastball,7,28.0
Inning_2_leadoff,Cutter,2,8.0
Inning_2_leadoff,Sinker,8,32.0
Inning_2_leadoff,Sweeper,8,32.0
Inning_3_leadoff,4-Seam Fastball,7,28.0
Inning_3_leadoff,Cutter,2,8.0
Inning_3_leadoff,Sinker,2,8.0
Inning_3_leadoff,Slider,1,4.0
Inning_3_leadoff,Sweeper,13,52.0
