bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,14,77.8
Batter_2,Sinker,2,11.1
Batter_2,Slider,2,11.1
Batter_3,4-Seam Fastball,7,38.9
Batter_3,Changeup,2,11.1
Batter_3,Curveball,2,11.1
Batter_3,Sinker,1,5.6
Batter_3,Slider,6,33.3
Inning_2_leadoff,4-Seam Fastball,9,52.9
Inning_2_leadoff,Curveball,1,5.9
Inning_2_leadoff,Sinker,2,11.8
Inning_2_leadoff,Slider,5,29.4
Inning_3_leadoff,4-Seam Fastball,10,55.6
Inning_3_leadoff,Curveball,5,27.8
Inning_3_leadoff,Sinker,1,5.6
Inning_3_leadoff,Slider,2,11.1
