bucket,pitch_name,count,pct
Batter_1,Sinker,23,100.0
Batter_2,4-Seam Fastball,1,4.3
Batter_2,Cutter,4,17.4
Batter_2,Sinker,13,56.5
Batter_2,Slider,4,17.4
Batter_2,Sweeper,1,4.3
Batter_3,4-Seam Fastball,4,17.4
Batter_3,Cutter,5,21.7
Batter_3,Sinker,8,34.8
Batter_3,Slider,5,21.7
Batter_3,Sweeper,1,4.3
Inning_2_leadoff,Cutter,1,4.3
Inning_2_leadoff,Sinker,16,69.6
Inning_2_leadoff,Slider,6,26.1
Inning_3_leadoff,4-Seam Fastball,1,4.3
Inning_3_leadoff,Cutter,3,13.0
Inning_3_leadoff,Sinker,11,47.8
Inning_3_leadoff,Slider,7,30.4
Inning_3_leadoff,Sweeper,1,4.3
