bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,69.6
Batter_1,Sinker,7,30.4
Batter_2,4-Seam Fastball,10,43.5
Batter_2,Curveball,1,4.3
Batter_2,Cutter,1,4.3
Batter_2,Sinker,9,39.1
Batter_2,Sweeper,2,8.7
Batter_3,4-Seam Fastball,11,47.8
Batter_3,Changeup,3,13.0
Batter_3,Curveball,1,4.3
Batter_3,Cutter,2,8.7
Batter_3,Sinker,5,21.7
Batter_3,Sweeper,1,4.3
Inning_2_leadoff,4-Seam Fastball,11,50.0
Inning_2_leadoff,Curveball,1,4.5
Inning_2_leadoff,Sinker,7,31.8
Inning_2_leadoff,Sweeper,3,13.6
Inning_3_leadoff,4-Seam Fastball,10,45.5
Inning_3_leadoff,Curveball,1,4.5
Inning_3_leadoff,Sinker,11,50.0
