game_pk,game_date,bucket,pitch_name
824619,2026-04-06,Inning_3_leadoff,4-Seam Fastball
824619,2026-04-06,Inning_2_leadoff,Slider
824619,2026-04-06,Batter_3,Slider
824619,2026-04-06,Batter_2,4-Seam Fastball
824619,2026-04-06,Batter_1,4-Seam Fastball
824854,2026-04-24,Inning_3_leadoff,Slider
824854,2026-04-24,Inning_2_leadoff,Sinker
824854,2026-04-24,Batter_3,4-Seam Fastball
824854,2026-04-24,Batter_2,Sinker
824854,2026-04-24,Batter_1,4-Seam Fastball
824850,2026-04-30,Inning_3_leadoff,4-Seam Fastball
824850,2026-04-30,Inning_2_leadoff,4-Seam Fastball
824850,2026-04-30,Batter_3,Slider
824850,2026-04-30,Batter_2,4-Seam Fastball
824850,2026-04-30,Batter_1,4-Seam Fastball
823872,2026-05-06,Inning_3_leadoff,Split-Finger
823872,2026-05-06,Inning_2_leadoff,Sinker
823872,2026-05-06,Batter_3,Sinker
823872,2026-05-06,Batter_2,4-Seam Fastball
823872,2026-05-06,Batter_1,4-Seam Fastball
824844,2026-05-11,Inning_3_leadoff,Split-Finger
824844,2026-05-11,Inning_2_leadoff,4-Seam Fastball
824844,2026-05-11,Batter_3,4-Seam Fastball
824844,2026-05-11,Batter_2,Curveball
824844,2026-05-11,Batter_1,4-Seam Fastball
822738,2026-05-17,Inning_3_leadoff,Curveball
822738,2026-05-17,Inning_2_leadoff,4-Seam Fastball
822738,2026-05-17,Batter_3,4-Seam Fastball
822738,2026-05-17,Batter_2,Split-Finger
822738,2026-05-17,Batter_1,4-Seam Fastball
824839,2026-05-24,Inning_3_leadoff,4-Seam Fastball
824839,2026-05-24,Inning_2_leadoff,4-Seam Fastball
824839,2026-05-24,Batter_3,Sinker
824839,2026-05-24,Batter_2,Curveball
824839,2026-05-24,Batter_1,4-Seam Fastball
824833,2026-05-30,Inning_3_leadoff,4-Seam Fastball
824833,2026-05-30,Inning_2_leadoff,4-Seam Fastball
824833,2026-05-30,Batter_3,Sinker
824833,2026-05-30,Batter_2,4-Seam Fastball
824833,2026-05-30,Batter_1,Sinker
822810,2026-06-05,Inning_3_leadoff,4-Seam Fastball
822810,2026-06-05,Inning_2_leadoff,4-Seam Fastball
822810,2026-06-05,Batter_3,Sinker
822810,2026-06-05,Batter_2,4-Seam Fastball
822810,2026-06-05,Batter_1,Sinker
824831,2026-06-10,Inning_3_leadoff,4-Seam Fastball
824831,2026-06-10,Inning_2_leadoff,4-Seam Fastball
824831,2026-06-10,Batter_3,4-Seam Fastball
824831,2026-06-10,Batter_2,Sinker
824831,2026-06-10,Batter_1,4-Seam Fastball
823128,2026-06-16,Inning_3_leadoff,4-Seam Fastball
823128,2026-06-16,Inning_2_leadoff,Curveball
823128,2026-06-16,Batter_3,Sinker
823128,2026-06-16,Batter_2,4-Seam Fastball
823128,2026-06-16,Batter_1,4-Seam Fastball
823934,2026-06-21,Inning_3_leadoff,4-Seam Fastball
823934,2026-06-21,Inning_2_leadoff,4-Seam Fastball
823934,2026-06-21,Batter_3,4-Seam Fastball
823934,2026-06-21,Batter_2,Sinker
823934,2026-06-21,Batter_1,4-Seam Fastball
824825,2026-06-27,Inning_3_leadoff,Curveball
824825,2026-06-27,Inning_2_leadoff,4-Seam Fastball
824825,2026-06-27,Batter_3,4-Seam Fastball
824825,2026-06-27,Batter_2,4-Seam Fastball
824825,2026-06-27,Batter_1,4-Seam Fastball
824499,2026-07-04,Inning_3_leadoff,4-Seam Fastball
824499,2026-07-04,Inning_2_leadoff,4-Seam Fastball
824499,2026-07-04,Batter_3,4-Seam Fastball
824499,2026-07-04,Batter_2,Sinker
824499,2026-07-04,Batter_1,4-Seam Fastball
