bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,84.2
Batter_1,Sinker,3,15.8
Batter_2,4-Seam Fastball,11,57.9
Batter_2,Curveball,3,15.8
Batter_2,Sinker,4,21.1
Batter_2,Split-Finger,1,5.3
Batter_3,4-Seam Fastball,10,52.6
Batter_3,Curveball,1,5.3
Batter_3,Sinker,6,31.6
Batter_3,Slider,2,10.5
Inning_2_leadoff,4-Seam Fastball,13,68.4
Inning_2_leadoff,Curveball,1,5.3
Inning_2_leadoff,Sinker,4,21.1
Inning_2_leadoff,Slider,1,5.3
Inning_3_leadoff,4-Seam Fastball,12,63.2
Inning_3_leadoff,Curveball,3,15.8
Inning_3_leadoff,Sinker,1,5.3
Inning_3_leadoff,Slider,1,5.3
Inning_3_leadoff,Split-Finger,2,10.5
