bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,20,87.0
Batter_1,Sinker,3,13.0
Batter_2,4-Seam Fastball,9,39.1
Batter_2,Curveball,6,26.1
Batter_2,Sinker,5,21.7
Batter_2,Slider,3,13.0
Batter_3,4-Seam Fastball,9,39.1
Batter_3,Curveball,6,26.1
Batter_3,Sinker,4,17.4
Batter_3,Slider,2,8.7
Batter_3,Split-Finger,2,8.7
Inning_2_leadoff,4-Seam Fastball,14,60.9
Inning_2_leadoff,Curveball,5,21.7
Inning_2_leadoff,Sinker,1,4.3
Inning_2_leadoff,Slider,3,13.0
Inning_3_leadoff,4-Seam Fastball,6,26.1
Inning_3_leadoff,Curveball,3,13.0
Inning_3_leadoff,Sinker,6,26.1
Inning_3_leadoff,Slider,8,34.8
