game_pk,game_date,bucket,pitch_name
823161,2026-03-28,Inning_3_leadoff,4-Seam Fastball
823161,2026-03-28,Inning_2_leadoff,4-Seam Fastball
823161,2026-03-28,Batter_3,4-Seam Fastball
823161,2026-03-28,Batter_2,4-Seam Fastball
823161,2026-03-28,Batter_1,4-Seam Fastball
824056,2026-04-03,Inning_3_leadoff,4-Seam Fastball
824056,2026-04-03,Inning_2_leadoff,Slider
824056,2026-04-03,Batter_3,4-Seam Fastball
824056,2026-04-03,Batter_2,4-Seam Fastball
824056,2026-04-03,Batter_1,Sinker
822915,2026-04-08,Inning_3_leadoff,4-Seam Fastball
822915,2026-04-08,Inning_2_leadoff,4-Seam Fastball
822915,2026-04-08,Batter_3,Slider
822915,2026-04-08,Batter_2,Sinker
822915,2026-04-08,Batter_1,4-Seam Fastball
823315,2026-04-14,Inning_3_leadoff,4-Seam Fastball
823315,2026-04-14,Inning_2_leadoff,Sinker
823315,2026-04-14,Batter_3,4-Seam Fastball
823315,2026-04-14,Batter_2,Sinker
823315,2026-04-14,Batter_1,4-Seam Fastball
823150,2026-04-19,Inning_3_leadoff,Sweeper
823150,2026-04-19,Inning_2_leadoff,Sinker
823150,2026-04-19,Batter_3,Sinker
823150,2026-04-19,Batter_2,4-Seam Fastball
823150,2026-04-19,Batter_1,4-Seam Fastball
823070,2026-04-25,Inning_3_leadoff,Changeup
823070,2026-04-25,Inning_2_leadoff,Sweeper
823070,2026-04-25,Batter_3,Sweeper
823070,2026-04-25,Batter_2,Sinker
823070,2026-04-25,Batter_1,4-Seam Fastball
823146,2026-05-01,Inning_3_leadoff,Sweeper
823146,2026-05-01,Inning_2_leadoff,Slider
823146,2026-05-01,Batter_3,4-Seam Fastball
823146,2026-05-01,Batter_2,Sinker
823146,2026-05-01,Batter_1,4-Seam Fastball
823141,2026-05-06,Inning_3_leadoff,Sinker
823141,2026-05-06,Inning_2_leadoff,Sinker
823141,2026-05-06,Batter_3,4-Seam Fastball
823141,2026-05-06,Batter_2,4-Seam Fastball
823141,2026-05-06,Batter_1,4-Seam Fastball
824197,2026-05-12,Inning_3_leadoff,Sinker
824197,2026-05-12,Inning_2_leadoff,Sweeper
824197,2026-05-12,Batter_3,4-Seam Fastball
824197,2026-05-12,Batter_2,4-Seam Fastball
824197,2026-05-12,Batter_1,Sinker
823137,2026-05-18,Inning_3_leadoff,Sinker
823137,2026-05-18,Inning_2_leadoff,4-Seam Fastball
823137,2026-05-18,Batter_3,Sinker
823137,2026-05-18,Batter_2,Slider
823137,2026-05-18,Batter_1,4-Seam Fastball
824108,2026-05-24,Inning_3_leadoff,4-Seam Fastball
824108,2026-05-24,Inning_2_leadoff,Sweeper
824108,2026-05-24,Batter_3,4-Seam Fastball
824108,2026-05-24,Batter_2,4-Seam Fastball
824108,2026-05-24,Batter_1,Sinker
823132,2026-05-30,Inning_3_leadoff,Slider
823132,2026-05-30,Inning_2_leadoff,Sinker
823132,2026-05-30,Batter_3,4-Seam Fastball
823132,2026-05-30,Batter_2,4-Seam Fastball
823132,2026-05-30,Batter_1,4-Seam Fastball
