bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,10,66.7
Batter_1,Cutter,1,6.7
Batter_1,Sinker,4,26.7
Batter_2,4-Seam Fastball,7,46.7
Batter_2,Cutter,1,6.7
Batter_2,Knuckle Curve,3,20.0
Batter_2,Sinker,2,13.3
Batter_2,Split-Finger,1,6.7
Batter_2,Sweeper,1,6.7
Batter_3,4-Seam Fastball,9,60.0
Batter_3,Knuckle Curve,1,6.7
Batter_3,Sinker,5,33.3
Inning_2_leadoff,4-Seam Fastball,8,53.3
Inning_2_leadoff,Cutter,1,6.7
Inning_2_leadoff,Sinker,3,20.0
Inning_2_leadoff,Slider,1,6.7
Inning_2_leadoff,Sweeper,2,13.3
Inning_3_leadoff,4-Seam Fastball,11,73.3
Inning_3_leadoff,Sinker,2,13.3
Inning_3_leadoff,Slider,2,13.3
