game_pk,game_date,bucket,pitch_name
824537,2026-03-31,Inning_3_leadoff,4-Seam Fastball
824537,2026-03-31,Inning_2_leadoff,4-Seam Fastball
824537,2026-03-31,Batter_3,4-Seam Fastball
824537,2026-03-31,Batter_2,4-Seam Fastball
824537,2026-03-31,Batter_1,4-Seam Fastball
823401,2026-04-06,Inning_3_leadoff,4-Seam Fastball
823401,2026-04-06,Inning_2_leadoff,Slider
823401,2026-04-06,Batter_3,4-Seam Fastball
823401,2026-04-06,Batter_2,4-Seam Fastball
823401,2026-04-06,Batter_1,4-Seam Fastball
824696,2026-04-12,Inning_3_leadoff,4-Seam Fastball
824696,2026-04-12,Inning_2_leadoff,4-Seam Fastball
824696,2026-04-12,Batter_3,4-Seam Fastball
824696,2026-04-12,Batter_2,Changeup
824696,2026-04-12,Batter_1,4-Seam Fastball
823397,2026-04-17,Inning_3_leadoff,4-Seam Fastball
823397,2026-04-17,Inning_2_leadoff,Sweeper
823397,2026-04-17,Batter_3,Sweeper
823397,2026-04-17,Batter_2,Slider
823397,2026-04-17,Batter_1,4-Seam Fastball
822912,2026-04-23,Inning_3_leadoff,4-Seam Fastball
822912,2026-04-23,Inning_2_leadoff,4-Seam Fastball
822912,2026-04-23,Batter_3,Changeup
822912,2026-04-23,Batter_2,4-Seam Fastball
822912,2026-04-23,Batter_1,4-Seam Fastball
823392,2026-04-29,Inning_3_leadoff,4-Seam Fastball
823392,2026-04-29,Inning_2_leadoff,4-Seam Fastball
823392,2026-04-29,Batter_3,Changeup
823392,2026-04-29,Batter_2,4-Seam Fastball
823392,2026-04-29,Batter_1,4-Seam Fastball
825092,2026-05-05,Inning_3_leadoff,Changeup
825092,2026-05-05,Inning_2_leadoff,4-Seam Fastball
825092,2026-05-05,Batter_3,4-Seam Fastball
825092,2026-05-05,Batter_2,4-Seam Fastball
825092,2026-05-05,Batter_1,4-Seam Fastball
823221,2026-05-10,Inning_3_leadoff,4-Seam Fastball
823221,2026-05-10,Inning_2_leadoff,4-Seam Fastball
823221,2026-05-10,Batter_3,4-Seam Fastball
823221,2026-05-10,Batter_2,4-Seam Fastball
823221,2026-05-10,Batter_1,4-Seam Fastball
823382,2026-05-16,Inning_3_leadoff,Curveball
823382,2026-05-16,Inning_2_leadoff,4-Seam Fastball
823382,2026-05-16,Batter_3,4-Seam Fastball
823382,2026-05-16,Batter_2,Changeup
823382,2026-05-16,Batter_1,4-Seam Fastball
822816,2026-05-22,Inning_3_leadoff,Sinker
822816,2026-05-22,Inning_2_leadoff,4-Seam Fastball
822816,2026-05-22,Batter_3,Slider
822816,2026-05-22,Batter_2,Sinker
822816,2026-05-22,Batter_1,Sinker
823376,2026-05-27,Inning_3_leadoff,Sinker
823376,2026-05-27,Inning_2_leadoff,4-Seam Fastball
823376,2026-05-27,Batter_3,4-Seam Fastball
823376,2026-05-27,Batter_2,Sinker
823376,2026-05-27,Batter_1,Sinker
824189,2026-06-02,Inning_3_leadoff,Curveball
824189,2026-06-02,Inning_2_leadoff,Slider
824189,2026-06-02,Batter_3,Slider
824189,2026-06-02,Batter_2,4-Seam Fastball
824189,2026-06-02,Batter_1,4-Seam Fastball
823369,2026-06-13,Inning_3_leadoff,Curveball
823369,2026-06-13,Inning_2_leadoff,4-Seam Fastball
823369,2026-06-13,Batter_3,Curveball
823369,2026-06-13,Batter_2,Sinker
823369,2026-06-13,Batter_1,4-Seam Fastball
824345,2026-06-19,Inning_3_leadoff,Changeup
824345,2026-06-19,Inning_2_leadoff,4-Seam Fastball
824345,2026-06-19,Batter_3,Sinker
824345,2026-06-19,Batter_2,4-Seam Fastball
824345,2026-06-19,Batter_1,4-Seam Fastball
823366,2026-06-25,Inning_3_leadoff,4-Seam Fastball
823366,2026-06-25,Inning_2_leadoff,Sweeper
823366,2026-06-25,Batter_3,4-Seam Fastball
823366,2026-06-25,Batter_2,Sweeper
823366,2026-06-25,Batter_1,4-Seam Fastball
823445,2026-06-30,Inning_3_leadoff,Slider
823445,2026-06-30,Inning_2_leadoff,Curveball
823445,2026-06-30,Batter_3,Slider
823445,2026-06-30,Batter_2,4-Seam Fastball
823445,2026-06-30,Batter_1,4-Seam Fastball
822715,2026-07-05,Inning_3_leadoff,Changeup
822715,2026-07-05,Inning_2_leadoff,4-Seam Fastball
822715,2026-07-05,Batter_3,Sinker
822715,2026-07-05,Batter_2,4-Seam Fastball
822715,2026-07-05,Batter_1,4-Seam Fastball
823356,2026-07-11,Inning_3_leadoff,Changeup
823356,2026-07-11,Inning_2_leadoff,4-Seam Fastball
823356,2026-07-11,Batter_3,4-Seam Fastball
823356,2026-07-11,Batter_2,4-Seam Fastball
823356,2026-07-11,Batter_1,4-Seam Fastball
823519,2026-07-22,Inning_3_leadoff,Slider
823519,2026-07-22,Inning_2_leadoff,4-Seam Fastball
823519,2026-07-22,Batter_3,Sinker
823519,2026-07-22,Batter_2,Sinker
823519,2026-07-22,Batter_1,4-Seam Fastball
