bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,85.7
Batter_1,Sinker,4,14.3
Batter_2,4-Seam Fastball,13,46.4
Batter_2,Cutter,4,14.3
Batter_2,Knuckle Curve,5,17.9
Batter_2,Sinker,6,21.4
Batter_3,4-Seam Fastball,10,34.5
Batter_3,Cutter,2,6.9
Batter_3,Knuckle Curve,12,41.4
Batter_3,Sinker,2,6.9
Batter_3,Sweeper,3,10.3
Inning_2_leadoff,4-Seam Fastball,17,58.6
Inning_2_leadoff,Cutter,3,10.3
Inning_2_leadoff,Knuckle Curve,4,13.8
Inning_2_leadoff,Sinker,3,10.3
Inning_2_leadoff,Sweeper,2,6.9
Inning_3_leadoff,4-Seam Fastball,11,39.3
Inning_3_leadoff,Changeup,1,3.6
Inning_3_leadoff,Cutter,2,7.1
Inning_3_leadoff,Knuckle Curve,10,35.7
Inning_3_leadoff,Sinker,2,7.1
Inning_3_leadoff,Sweeper,2,7.1
