bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,94.1
Batter_1,Sinker,1,5.9
Batter_2,4-Seam Fastball,14,82.4
Batter_2,Curveball,3,17.6
Batter_3,4-Seam Fastball,5,29.4
Batter_3,Curveball,5,29.4
Batter_3,Sinker,5,29.4
Batter_3,Sweeper,2,11.8
Inning_2_leadoff,4-Seam Fastball,11,64.7
Inning_2_leadoff,Curveball,2,11.8
Inning_2_leadoff,Sinker,1,5.9
Inning_2_leadoff,Sweeper,3,17.6
Inning_3_leadoff,4-Seam Fastball,12,70.6
Inning_3_leadoff,Curveball,1,5.9
Inning_3_leadoff,Sinker,2,11.8
Inning_3_leadoff,Sweeper,2,11.8
