bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,86.4
Batter_1,Cutter,1,4.5
Batter_1,Sinker,2,9.1
Batter_2,4-Seam Fastball,15,65.2
Batter_2,Cutter,3,13.0
Batter_2,Sinker,5,21.7
Batter_3,4-Seam Fastball,15,65.2
Batter_3,Curveball,2,8.7
Batter_3,Cutter,1,4.3
Batter_3,Sinker,5,21.7
Inning_2_leadoff,4-Seam Fastball,15,65.2
Inning_2_leadoff,Curveball,2,8.7
Inning_2_leadoff,Cutter,2,8.7
Inning_2_leadoff,Sinker,4,17.4
Inning_3_leadoff,4-Seam Fastball,17,73.9
Inning_3_leadoff,Cutter,2,8.7
Inning_3_leadoff,Sinker,4,17.4
