bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,26,92.9
Batter_1,Changeup,1,3.6
Batter_1,Sinker,1,3.6
Batter_2,4-Seam Fastball,16,59.3
Batter_2,Changeup,1,3.7
Batter_2,Curveball,1,3.7
Batter_2,Sinker,4,14.8
Batter_2,Slider,5,18.5
Batter_3,4-Seam Fastball,13,46.4
Batter_3,Changeup,1,3.6
Batter_3,Curveball,1,3.6
Batter_3,Sinker,3,10.7
Batter_3,Slider,10,35.7
Inning_2_leadoff,4-Seam Fastball,17,60.7
Inning_2_leadoff,Sinker,4,14.3
Inning_2_leadoff,Slider,7,25.0
Inning_3_leadoff,4-Seam Fastball,19,67.9
Inning_3_leadoff,Changeup,1,3.6
Inning_3_leadoff,Curveball,3,10.7
Inning_3_leadoff,Slider,5,17.9
