game_pk,game_date,bucket,pitch_name
823647,2026-03-29,Inning_3_leadoff,Curveball
823647,2026-03-29,Inning_2_leadoff,Curveball
823647,2026-03-29,Batter_3,Sinker
823647,2026-03-29,Batter_2,4-Seam Fastball
823647,2026-03-29,Batter_1,4-Seam Fastball
823404,2026-04-04,Inning_3_leadoff,Curveball
823404,2026-04-04,Inning_2_leadoff,4-Seam Fastball
823404,2026-04-04,Batter_3,Sinker
823404,2026-04-04,Batter_2,Sinker
823404,2026-04-04,Batter_1,4-Seam Fastball
824695,2026-04-10,Inning_3_leadoff,Sinker
824695,2026-04-10,Inning_2_leadoff,4-Seam Fastball
824695,2026-04-10,Batter_3,Sinker
824695,2026-04-10,Batter_2,4-Seam Fastball
824695,2026-04-10,Batter_1,4-Seam Fastball
822914,2026-04-21,Inning_3_leadoff,Curveball
822914,2026-04-21,Inning_2_leadoff,Curveball
822914,2026-04-21,Batter_3,Sinker
822914,2026-04-21,Batter_2,Sinker
822914,2026-04-21,Batter_1,4-Seam Fastball
823797,2026-04-26,Inning_3_leadoff,Curveball
823797,2026-04-26,Inning_2_leadoff,Sinker
823797,2026-04-26,Batter_3,Split-Finger
823797,2026-04-26,Batter_2,4-Seam Fastball
823797,2026-04-26,Batter_1,4-Seam Fastball
823388,2026-05-02,Inning_3_leadoff,Sinker
823388,2026-05-02,Inning_2_leadoff,4-Seam Fastball
823388,2026-05-02,Batter_3,Sinker
823388,2026-05-02,Batter_2,Curveball
823388,2026-05-02,Batter_1,Sinker
823225,2026-05-08,Inning_3_leadoff,Sinker
823225,2026-05-08,Inning_2_leadoff,4-Seam Fastball
823225,2026-05-08,Batter_3,Sweeper
823225,2026-05-08,Batter_2,Sinker
823225,2026-05-08,Batter_1,4-Seam Fastball
823057,2026-05-20,Inning_3_leadoff,Curveball
823057,2026-05-20,Inning_2_leadoff,4-Seam Fastball
823057,2026-05-20,Batter_3,Split-Finger
823057,2026-05-20,Batter_2,4-Seam Fastball
823057,2026-05-20,Batter_1,4-Seam Fastball
823380,2026-05-25,Inning_3_leadoff,Split-Finger
823380,2026-05-25,Inning_2_leadoff,4-Seam Fastball
823380,2026-05-25,Batter_3,4-Seam Fastball
823380,2026-05-25,Batter_2,4-Seam Fastball
823380,2026-05-25,Batter_1,4-Seam Fastball
