bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,75.0
Batter_1,Sinker,3,25.0
Batter_2,4-Seam Fastball,6,50.0
Batter_2,Curveball,2,16.7
Batter_2,Cutter,1,8.3
Batter_2,Sinker,3,25.0
Batter_3,4-Seam Fastball,2,16.7
Batter_3,Sinker,6,50.0
Batter_3,Split-Finger,3,25.0
Batter_3,Sweeper,1,8.3
Inning_2_leadoff,4-Seam Fastball,6,50.0
Inning_2_leadoff,Curveball,3,25.0
Inning_2_leadoff,Sinker,2,16.7
Inning_2_leadoff,Split-Finger,1,8.3
Inning_3_leadoff,4-Seam Fastball,1,8.3
Inning_3_leadoff,Curveball,5,41.7
Inning_3_leadoff,Cutter,1,8.3
Inning_3_leadoff,Sinker,4,33.3
Inning_3_leadoff,Split-Finger,1,8.3
