bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,21,80.8
Batter_1,Sinker,4,15.4
Batter_1,Split-Finger,1,3.8
Batter_2,4-Seam Fastball,11,42.3
Batter_2,Sinker,4,15.4
Batter_2,Slider,8,30.8
Batter_2,Slurve,2,7.7
Batter_2,Split-Finger,1,3.8
Batter_3,4-Seam Fastball,9,34.6
Batter_3,Sinker,3,11.5
Batter_3,Slider,9,34.6
Batter_3,Slurve,1,3.8
Batter_3,Split-Finger,4,15.4
Inning_2_leadoff,4-Seam Fastball,16,61.5
Inning_2_leadoff,Sinker,4,15.4
Inning_2_leadoff,Slider,3,11.5
Inning_2_leadoff,Slurve,3,11.5
Inning_3_leadoff,4-Seam Fastball,14,56.0
Inning_3_leadoff,Sinker,1,4.0
Inning_3_leadoff,Slider,5,20.0
Inning_3_leadoff,Slurve,3,12.0
Inning_3_leadoff,Split-Finger,2,8.0
