game_pk,game_date,bucket,pitch_name
823811,2026-03-28,Inning_3_leadoff,Sinker
823811,2026-03-28,Inning_2_leadoff,Cutter
823811,2026-03-28,Batter_3,4-Seam Fastball
823811,2026-03-28,Batter_2,Cutter
823811,2026-03-28,Batter_1,Sinker
824132,2026-04-04,Inning_3_leadoff,Slurve
824132,2026-04-04,Inning_2_leadoff,Sinker
824132,2026-04-04,Batter_3,4-Seam Fastball
824132,2026-04-04,Batter_2,Cutter
824132,2026-04-04,Batter_1,4-Seam Fastball
823803,2026-04-15,Inning_3_leadoff,4-Seam Fastball
823803,2026-04-15,Inning_2_leadoff,Cutter
823803,2026-04-15,Batter_3,Cutter
823803,2026-04-15,Batter_2,Cutter
823803,2026-04-15,Batter_1,4-Seam Fastball
823798,2026-04-28,Inning_3_leadoff,Cutter
823798,2026-04-28,Inning_2_leadoff,4-Seam Fastball
823798,2026-04-28,Batter_3,4-Seam Fastball
823798,2026-04-28,Batter_2,Cutter
823798,2026-04-28,Batter_1,4-Seam Fastball
823064,2026-05-04,Inning_3_leadoff,Sinker
823064,2026-05-04,Inning_2_leadoff,Cutter
823064,2026-05-04,Batter_3,Cutter
823064,2026-05-04,Batter_2,Cutter
823064,2026-05-04,Batter_1,Cutter
823783,2026-05-27,Inning_3_leadoff,Cutter
823783,2026-05-27,Inning_2_leadoff,Cutter
823783,2026-05-27,Batter_3,4-Seam Fastball
823783,2026-05-27,Batter_2,4-Seam Fastball
823783,2026-05-27,Batter_1,4-Seam Fastball
