game_pk,game_date,bucket,pitch_name
778423,2025-04-06,Inning_3_leadoff,CU
778423,2025-04-06,Inning_2_leadoff,FF
778423,2025-04-06,Batter_3,FF
778423,2025-04-06,Batter_2,FF
778352,2025-04-12,Inning_3_leadoff,FF
778352,2025-04-12,Inning_2_leadoff,FC
778352,2025-04-12,Batter_3,FC
778352,2025-04-12,Batter_2,FF
778247,2025-04-19,Inning_3_leadoff,FF
778247,2025-04-19,Inning_2_leadoff,CH
778247,2025-04-19,Batter_3,FF
778247,2025-04-19,Batter_2,FF
778195,2025-04-24,Inning_3_leadoff,FF
778195,2025-04-24,Inning_2_leadoff,CU
778195,2025-04-24,Batter_3,CH
778195,2025-04-24,Batter_2,FF
778102,2025-04-30,Inning_3_leadoff,FF
778102,2025-04-30,Inning_2_leadoff,FF
778102,2025-04-30,Batter_3,FF
778102,2025-04-30,Batter_2,FF
778013,2025-05-07,Inning_3_leadoff,FF
778013,2025-05-07,Inning_2_leadoff,CU
778013,2025-05-07,Batter_3,CU
778013,2025-05-07,Batter_2,FF
777949,2025-05-12,Inning_3_leadoff,FF
777949,2025-05-12,Inning_2_leadoff,FF
777949,2025-05-12,Batter_3,CU
777949,2025-05-12,Batter_2,FF
777870,2025-05-18,Inning_3_leadoff,FF
777870,2025-05-18,Inning_2_leadoff,FF
777870,2025-05-18,Batter_3,FF
777870,2025-05-18,Batter_2,CU
777666,2025-06-03,Inning_3_leadoff,FF
777666,2025-06-03,Inning_2_leadoff,FC
777666,2025-06-03,Batter_3,FC
777666,2025-06-03,Batter_2,CU
777583,2025-06-08,Inning_3_leadoff,FF
777583,2025-06-08,Inning_2_leadoff,FF
777583,2025-06-08,Batter_3,FF
777583,2025-06-08,Batter_2,FF
777523,2025-06-14,Inning_3_leadoff,CU
777523,2025-06-14,Inning_2_leadoff,SI
777523,2025-06-14,Batter_3,FF
777523,2025-06-14,Batter_2,FF
777445,2025-06-19,Inning_3_leadoff,SI
777445,2025-06-19,Inning_2_leadoff,CU
777445,2025-06-19,Batter_3,CU
777445,2025-06-19,Batter_2,SI
777358,2025-06-25,Inning_3_leadoff,FF
777358,2025-06-25,Inning_2_leadoff,CU
777358,2025-06-25,Batter_3,CU
777358,2025-06-25,Batter_2,FF
