bucket,pitch_name,count,pct
Batter_1,Cutter,1,7.1
Batter_1,Sinker,13,92.9
Batter_2,4-Seam Fastball,3,21.4
Batter_2,Curveball,1,7.1
Batter_2,Cutter,1,7.1
Batter_2,Sinker,9,64.3
Batter_3,Changeup,1,7.1
Batter_3,Curveball,3,21.4
Batter_3,Cutter,1,7.1
Batter_3,Sinker,9,64.3
Inning_2_leadoff,4-Seam Fastball,1,7.1
Inning_2_leadoff,Curveball,4,28.6
Inning_2_leadoff,Cutter,1,7.1
Inning_2_leadoff,Sinker,8,57.1
Inning_3_leadoff,4-Seam Fastball,2,15.4
Inning_3_leadoff,Curveball,3,23.1
Inning_3_leadoff,Cutter,2,15.4
Inning_3_leadoff,Sinker,4,30.8
Inning_3_leadoff,Sweeper,2,15.4
