game_pk,game_date,bucket,pitch_name
824946,2026-03-27,Inning_3_leadoff,4-Seam Fastball
824946,2026-03-27,Inning_2_leadoff,4-Seam Fastball
824946,2026-03-27,Batter_3,Slider
824946,2026-03-27,Batter_2,4-Seam Fastball
824946,2026-03-27,Batter_1,4-Seam Fastball
824940,2026-04-01,Inning_3_leadoff,4-Seam Fastball
824940,2026-04-01,Inning_2_leadoff,4-Seam Fastball
824940,2026-04-01,Batter_3,Slider
824940,2026-04-01,Batter_2,4-Seam Fastball
824940,2026-04-01,Batter_1,4-Seam Fastball
824052,2026-04-06,Inning_3_leadoff,4-Seam Fastball
824052,2026-04-06,Inning_2_leadoff,4-Seam Fastball
824052,2026-04-06,Batter_3,Slider
824052,2026-04-06,Batter_2,4-Seam Fastball
824052,2026-04-06,Batter_1,4-Seam Fastball
824938,2026-04-12,Inning_3_leadoff,4-Seam Fastball
824938,2026-04-12,Inning_2_leadoff,4-Seam Fastball
824938,2026-04-12,Batter_3,4-Seam Fastball
824938,2026-04-12,Batter_2,Slider
824938,2026-04-12,Batter_1,4-Seam Fastball
823474,2026-04-18,Inning_3_leadoff,4-Seam Fastball
823474,2026-04-18,Inning_2_leadoff,Slider
823474,2026-04-18,Batter_3,Slider
823474,2026-04-18,Batter_2,Sinker
823474,2026-04-18,Batter_1,4-Seam Fastball
824934,2026-04-26,Inning_3_leadoff,4-Seam Fastball
824934,2026-04-26,Inning_2_leadoff,Slider
824934,2026-04-26,Batter_3,Slider
824934,2026-04-26,Batter_2,Slider
824934,2026-04-26,Batter_1,4-Seam Fastball
824365,2026-05-02,Inning_3_leadoff,Slider
824365,2026-05-02,Inning_2_leadoff,Slider
824365,2026-05-02,Batter_3,4-Seam Fastball
824365,2026-05-02,Batter_2,4-Seam Fastball
824365,2026-05-02,Batter_1,4-Seam Fastball
823957,2026-05-08,Inning_3_leadoff,4-Seam Fastball
823957,2026-05-08,Inning_2_leadoff,4-Seam Fastball
823957,2026-05-08,Batter_3,Sinker
823957,2026-05-08,Batter_2,Slider
823957,2026-05-08,Batter_1,4-Seam Fastball
824926,2026-05-14,Inning_3_leadoff,Slider
824926,2026-05-14,Inning_2_leadoff,Sinker
824926,2026-05-14,Batter_3,Slider
824926,2026-05-14,Batter_2,4-Seam Fastball
824926,2026-05-14,Batter_1,4-Seam Fastball
823866,2026-05-20,Inning_3_leadoff,Slider
823866,2026-05-20,Inning_2_leadoff,4-Seam Fastball
823866,2026-05-20,Batter_3,Slider
823866,2026-05-20,Batter_2,4-Seam Fastball
823866,2026-05-20,Batter_1,4-Seam Fastball
824757,2026-05-28,Inning_3_leadoff,Slider
824757,2026-05-28,Inning_2_leadoff,4-Seam Fastball
824757,2026-05-28,Batter_3,4-Seam Fastball
824757,2026-05-28,Batter_2,4-Seam Fastball
824757,2026-05-28,Batter_1,4-Seam Fastball
824919,2026-06-04,Inning_3_leadoff,4-Seam Fastball
824919,2026-06-04,Inning_2_leadoff,4-Seam Fastball
824919,2026-06-04,Batter_3,Slider
824919,2026-06-04,Batter_2,Changeup
824919,2026-06-04,Batter_1,4-Seam Fastball
824590,2026-06-10,Inning_3_leadoff,Slider
824590,2026-06-10,Inning_2_leadoff,Slider
824590,2026-06-10,Batter_3,Slider
824590,2026-06-10,Batter_2,4-Seam Fastball
824590,2026-06-10,Batter_1,4-Seam Fastball
824909,2026-06-20,Inning_3_leadoff,4-Seam Fastball
824909,2026-06-20,Inning_2_leadoff,4-Seam Fastball
824909,2026-06-20,Batter_3,4-Seam Fastball
824909,2026-06-20,Batter_2,4-Seam Fastball
824909,2026-06-20,Batter_1,4-Seam Fastball
