bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,14,77.8
Batter_1,Cutter,1,5.6
Batter_1,Sinker,1,5.6
Batter_1,Sweeper,2,11.1
Batter_2,4-Seam Fastball,9,47.4
Batter_2,Sinker,1,5.3
Batter_2,Sweeper,9,47.4
Batter_3,4-Seam Fastball,13,68.4
Batter_3,Cutter,3,15.8
Batter_3,Sinker,2,10.5
Batter_3,Sweeper,1,5.3
Inning_2_leadoff,4-Seam Fastball,11,57.9
Inning_2_leadoff,Cutter,3,15.8
Inning_2_leadoff,Sweeper,5,26.3
Inning_3_leadoff,4-Seam Fastball,11,61.1
Inning_3_leadoff,Cutter,3,16.7
Inning_3_leadoff,Sweeper,4,22.2
