game_pk,game_date,bucket,pitch_name
778559,2025-03-27,Leadoff_2nd_PA,Sinker
778559,2025-03-27,Inning_3_leadoff,Slider
778559,2025-03-27,Inning_2_leadoff,Sinker
778559,2025-03-27,Batter_3,Sinker
778559,2025-03-27,Batter_2,Sinker
778481,2025-04-02,Leadoff_2nd_PA,Sinker
778481,2025-04-02,Inning_3_leadoff,Cutter
778481,2025-04-02,Inning_2_leadoff,Cutter
778481,2025-04-02,Batter_3,Sinker
778481,2025-04-02,Batter_2,Sinker
778407,2025-04-08,Inning_3_leadoff,Sinker
778407,2025-04-08,Inning_2_leadoff,4-Seam Fastball
778407,2025-04-08,Batter_3,Sweeper
778407,2025-04-08,Batter_2,4-Seam Fastball
778324,2025-04-14,Inning_3_leadoff,Sinker
778324,2025-04-14,Inning_2_leadoff,Slider
778324,2025-04-14,Batter_3,Sinker
778324,2025-04-14,Batter_2,Sinker
778244,2025-04-20,Inning_3_leadoff,4-Seam Fastball
778244,2025-04-20,Inning_2_leadoff,Sinker
778244,2025-04-20,Batter_3,Sinker
778244,2025-04-20,Batter_2,Sinker
778173,2025-04-26,Leadoff_2nd_PA,Sweeper
778173,2025-04-26,Inning_3_leadoff,Changeup
778173,2025-04-26,Inning_2_leadoff,Sweeper
778173,2025-04-26,Batter_3,Cutter
778173,2025-04-26,Batter_2,Sweeper
778084,2025-05-02,Inning_3_leadoff,Sinker
778084,2025-05-02,Inning_2_leadoff,Sweeper
778084,2025-05-02,Batter_3,Sinker
778084,2025-05-02,Batter_2,Sinker
778001,2025-05-09,Inning_3_leadoff,Sweeper
778001,2025-05-09,Inning_2_leadoff,Sweeper
778001,2025-05-09,Batter_3,Sinker
778001,2025-05-09,Batter_2,Sinker
777919,2025-05-14,Inning_3_leadoff,Sinker
777919,2025-05-14,Inning_2_leadoff,Sinker
777919,2025-05-14,Batter_3,Changeup
777919,2025-05-14,Batter_2,Sinker
777851,2025-05-20,Inning_3_leadoff,Sweeper
777851,2025-05-20,Inning_2_leadoff,Cutter
777851,2025-05-20,Batter_3,Sweeper
777851,2025-05-20,Batter_2,Sinker
777758,2025-05-26,Inning_3_leadoff,Slider
777758,2025-05-26,Inning_2_leadoff,Sinker
777758,2025-05-26,Batter_3,Sinker
777758,2025-05-26,Batter_2,Sweeper
777686,2025-06-01,Inning_3_leadoff,Sinker
777686,2025-06-01,Inning_2_leadoff,Sinker
777686,2025-06-01,Batter_3,Sinker
777686,2025-06-01,Batter_2,Sweeper
777604,2025-06-07,Inning_3_leadoff,Sinker
777604,2025-06-07,Inning_2_leadoff,Sinker
777604,2025-06-07,Batter_3,Sweeper
777604,2025-06-07,Batter_2,Sinker
777528,2025-06-13,Inning_3_leadoff,Slider
777528,2025-06-13,Inning_2_leadoff,Sweeper
777528,2025-06-13,Batter_3,Sinker
777528,2025-06-13,Batter_2,Sinker
777455,2025-06-19,Inning_3_leadoff,Changeup
777455,2025-06-19,Inning_2_leadoff,Cutter
777455,2025-06-19,Batter_3,Slider
777455,2025-06-19,Batter_2,Cutter
777369,2025-06-25,Inning_3_leadoff,Sinker
777369,2025-06-25,Inning_2_leadoff,Sinker
777369,2025-06-25,Batter_3,Slider
777369,2025-06-25,Batter_2,Sweeper
