game_pk,game_date,bucket,pitch_name
778331,2025-04-13,Inning_3_leadoff,Cutter
778331,2025-04-13,Inning_2_leadoff,Sinker
778331,2025-04-13,Batter_3,4-Seam Fastball
778331,2025-04-13,Batter_2,4-Seam Fastball
778331,2025-04-13,Batter_1,4-Seam Fastball
778268,2025-04-18,Inning_3_leadoff,4-Seam Fastball
778268,2025-04-18,Inning_2_leadoff,4-Seam Fastball
778268,2025-04-18,Batter_3,4-Seam Fastball
778268,2025-04-18,Batter_2,4-Seam Fastball
778268,2025-04-18,Batter_1,4-Seam Fastball
778182,2025-04-25,Inning_3_leadoff,4-Seam Fastball
778182,2025-04-25,Inning_2_leadoff,4-Seam Fastball
778182,2025-04-25,Batter_3,4-Seam Fastball
778182,2025-04-25,Batter_2,4-Seam Fastball
778182,2025-04-25,Batter_1,4-Seam Fastball
778100,2025-05-01,Inning_3_leadoff,4-Seam Fastball
778100,2025-05-01,Inning_2_leadoff,4-Seam Fastball
778100,2025-05-01,Batter_3,Cutter
778100,2025-05-01,Batter_2,4-Seam Fastball
778100,2025-05-01,Batter_1,4-Seam Fastball
778027,2025-05-06,Inning_3_leadoff,4-Seam Fastball
778027,2025-05-06,Inning_2_leadoff,4-Seam Fastball
778027,2025-05-06,Batter_3,4-Seam Fastball
778027,2025-05-06,Batter_2,4-Seam Fastball
778027,2025-05-06,Batter_1,4-Seam Fastball
777952,2025-05-12,Inning_3_leadoff,4-Seam Fastball
777952,2025-05-12,Inning_2_leadoff,4-Seam Fastball
777952,2025-05-12,Batter_3,4-Seam Fastball
777952,2025-05-12,Batter_2,4-Seam Fastball
777952,2025-05-12,Batter_1,4-Seam Fastball
777872,2025-05-18,Inning_3_leadoff,Curveball
777872,2025-05-18,Inning_2_leadoff,Sinker
777872,2025-05-18,Batter_3,4-Seam Fastball
777872,2025-05-18,Batter_2,4-Seam Fastball
777872,2025-05-18,Batter_1,4-Seam Fastball
777791,2025-05-24,Inning_3_leadoff,Slider
777791,2025-05-24,Inning_2_leadoff,4-Seam Fastball
777791,2025-05-24,Batter_3,4-Seam Fastball
777791,2025-05-24,Batter_2,4-Seam Fastball
777791,2025-05-24,Batter_1,4-Seam Fastball
777712,2025-05-30,Inning_3_leadoff,Cutter
777712,2025-05-30,Inning_2_leadoff,Sinker
777712,2025-05-30,Batter_3,4-Seam Fastball
777712,2025-05-30,Batter_2,4-Seam Fastball
777712,2025-05-30,Batter_1,4-Seam Fastball
777571,2025-06-10,Inning_3_leadoff,Slider
777571,2025-06-10,Inning_2_leadoff,4-Seam Fastball
777571,2025-06-10,Batter_3,Cutter
777571,2025-06-10,Batter_2,4-Seam Fastball
777571,2025-06-10,Batter_1,4-Seam Fastball
777497,2025-06-15,Inning_3_leadoff,4-Seam Fastball
777497,2025-06-15,Inning_2_leadoff,4-Seam Fastball
777497,2025-06-15,Batter_3,Sinker
777497,2025-06-15,Batter_2,4-Seam Fastball
777497,2025-06-15,Batter_1,Curveball
777403,2025-06-22,Inning_3_leadoff,Curveball
777403,2025-06-22,Inning_2_leadoff,Slider
777403,2025-06-22,Batter_3,4-Seam Fastball
777403,2025-06-22,Batter_2,4-Seam Fastball
777403,2025-06-22,Batter_1,4-Seam Fastball
777320,2025-06-28,Inning_3_leadoff,4-Seam Fastball
777320,2025-06-28,Inning_2_leadoff,4-Seam Fastball
777320,2025-06-28,Batter_3,4-Seam Fastball
777320,2025-06-28,Batter_2,Slider
777320,2025-06-28,Batter_1,4-Seam Fastball
777246,2025-07-04,Inning_3_leadoff,4-Seam Fastball
777246,2025-07-04,Inning_2_leadoff,Slider
777246,2025-07-04,Batter_3,4-Seam Fastball
777246,2025-07-04,Batter_2,4-Seam Fastball
777246,2025-07-04,Batter_1,4-Seam Fastball
777166,2025-07-10,Inning_3_leadoff,4-Seam Fastball
777166,2025-07-10,Inning_2_leadoff,4-Seam Fastball
777166,2025-07-10,Batter_3,4-Seam Fastball
777166,2025-07-10,Batter_2,4-Seam Fastball
777166,2025-07-10,Batter_1,4-Seam Fastball
777101,2025-07-18,Inning_3_leadoff,4-Seam Fastball
777101,2025-07-18,Inning_2_leadoff,4-Seam Fastball
777101,2025-07-18,Batter_3,4-Seam Fastball
777101,2025-07-18,Batter_2,4-Seam Fastball
777101,2025-07-18,Batter_1,4-Seam Fastball
777031,2025-07-23,Inning_3_leadoff,Sinker
777031,2025-07-23,Inning_2_leadoff,4-Seam Fastball
777031,2025-07-23,Batter_3,4-Seam Fastball
777031,2025-07-23,Batter_2,4-Seam Fastball
777031,2025-07-23,Batter_1,Split-Finger
776956,2025-07-29,Inning_3_leadoff,Curveball
776956,2025-07-29,Inning_2_leadoff,4-Seam Fastball
776956,2025-07-29,Batter_3,Sinker
776956,2025-07-29,Batter_2,Sinker
776956,2025-07-29,Batter_1,4-Seam Fastball
776888,2025-08-03,Inning_3_leadoff,Sinker
776888,2025-08-03,Inning_2_leadoff,4-Seam Fastball
776888,2025-08-03,Batter_3,4-Seam Fastball
776888,2025-08-03,Batter_2,4-Seam Fastball
776888,2025-08-03,Batter_1,4-Seam Fastball
776818,2025-08-09,Inning_3_leadoff,4-Seam Fastball
776818,2025-08-09,Inning_2_leadoff,4-Seam Fastball
776818,2025-08-09,Batter_3,Sweeper
776818,2025-08-09,Batter_2,4-Seam Fastball
776818,2025-08-09,Batter_1,4-Seam Fastball
776737,2025-08-15,Inning_3_leadoff,Slider
776737,2025-08-15,Inning_2_leadoff,Slider
776737,2025-08-15,Batter_3,4-Seam Fastball
776737,2025-08-15,Batter_2,4-Seam Fastball
776737,2025-08-15,Batter_1,4-Seam Fastball
776663,2025-08-20,Inning_3_leadoff,Curveball
776663,2025-08-20,Inning_2_leadoff,Curveball
776663,2025-08-20,Batter_3,4-Seam Fastball
776663,2025-08-20,Batter_2,Curveball
776663,2025-08-20,Batter_1,4-Seam Fastball
776557,2025-08-27,Inning_3_leadoff,4-Seam Fastball
776557,2025-08-27,Inning_2_leadoff,4-Seam Fastball
776557,2025-08-27,Batter_3,4-Seam Fastball
776557,2025-08-27,Batter_2,4-Seam Fastball
776557,2025-08-27,Batter_1,4-Seam Fastball
