bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,80.0
Batter_1,Cutter,1,6.7
Batter_1,Sinker,2,13.3
Batter_2,4-Seam Fastball,14,93.3
Batter_2,Curveball,1,6.7
Batter_3,4-Seam Fastball,10,66.7
Batter_3,Changeup,1,6.7
Batter_3,Curveball,1,6.7
Batter_3,Cutter,2,13.3
Batter_3,Slider,1,6.7
Inning_2_leadoff,4-Seam Fastball,9,60.0
Inning_2_leadoff,Changeup,2,13.3
Inning_2_leadoff,Curveball,1,6.7
Inning_2_leadoff,Sinker,1,6.7
Inning_2_leadoff,Slider,1,6.7
Inning_2_leadoff,Sweeper,1,6.7
Inning_3_leadoff,4-Seam Fastball,11,73.3
Inning_3_leadoff,Curveball,1,6.7
Inning_3_leadoff,Sinker,2,13.3
Inning_3_leadoff,Slider,1,6.7
