game_pk,game_date,bucket,pitch_name
823486,2026-03-26,Inning_3_leadoff,Sinker
823486,2026-03-26,Inning_2_leadoff,Slider
823486,2026-03-26,Batter_3,Slider
823486,2026-03-26,Batter_2,Sinker
823486,2026-03-26,Batter_1,Sinker
823483,2026-04-01,Inning_3_leadoff,Slider
823483,2026-04-01,Inning_2_leadoff,Slider
823483,2026-04-01,Batter_3,Sinker
823483,2026-04-01,Batter_2,Sinker
823483,2026-04-01,Batter_1,Sinker
823235,2026-04-07,Inning_3_leadoff,Slider
823235,2026-04-07,Inning_2_leadoff,Sinker
823235,2026-04-07,Batter_3,Sinker
823235,2026-04-07,Batter_2,Sinker
823235,2026-04-07,Batter_1,Sinker
823481,2026-04-13,Inning_3_leadoff,Sinker
823481,2026-04-13,Inning_2_leadoff,Sinker
823481,2026-04-13,Batter_3,Sinker
823481,2026-04-13,Batter_2,Sinker
823481,2026-04-13,Batter_1,Sinker
823474,2026-04-18,Inning_3_leadoff,Sinker
823474,2026-04-18,Inning_2_leadoff,Sinker
823474,2026-04-18,Batter_3,Changeup
823474,2026-04-18,Batter_2,Sinker
823474,2026-04-18,Batter_1,Sinker
824689,2026-04-23,Inning_3_leadoff,Sinker
824689,2026-04-23,Inning_2_leadoff,Sinker
824689,2026-04-23,Batter_3,Changeup
824689,2026-04-23,Batter_2,Sinker
824689,2026-04-23,Batter_1,Sinker
823472,2026-04-30,Inning_3_leadoff,Sinker
823472,2026-04-30,Inning_2_leadoff,Sinker
823472,2026-04-30,Batter_3,Sinker
823472,2026-04-30,Batter_2,Sinker
823472,2026-04-30,Batter_1,Sinker
823469,2026-05-05,Inning_3_leadoff,Sinker
823469,2026-05-05,Inning_2_leadoff,Sinker
823469,2026-05-05,Batter_3,Sinker
823469,2026-05-05,Batter_2,Slider
823469,2026-05-05,Batter_1,Sinker
823463,2026-05-10,Inning_3_leadoff,Sinker
823463,2026-05-10,Inning_2_leadoff,Sinker
823463,2026-05-10,Batter_3,Changeup
823463,2026-05-10,Batter_2,Sinker
823463,2026-05-10,Batter_1,Sinker
823382,2026-05-16,Inning_3_leadoff,Sinker
823382,2026-05-16,Inning_2_leadoff,Sinker
823382,2026-05-16,Batter_3,Slider
823382,2026-05-16,Batter_2,Sinker
823382,2026-05-16,Batter_1,Sinker
823461,2026-05-22,Inning_3_leadoff,Changeup
823461,2026-05-22,Inning_2_leadoff,Sinker
823461,2026-05-22,Batter_3,Slider
823461,2026-05-22,Batter_2,Sinker
823461,2026-05-22,Batter_1,Sinker
823295,2026-05-27,Inning_3_leadoff,Slider
823295,2026-05-27,Inning_2_leadoff,Sinker
823295,2026-05-27,Batter_3,Sinker
823295,2026-05-27,Batter_2,Changeup
823295,2026-05-27,Batter_1,Sinker
823456,2026-06-03,Inning_3_leadoff,Sinker
823456,2026-06-03,Inning_2_leadoff,Sinker
823456,2026-06-03,Batter_3,Sinker
823456,2026-06-03,Batter_2,Sinker
823456,2026-06-03,Batter_1,Sinker
822806,2026-06-08,Inning_3_leadoff,Sinker
822806,2026-06-08,Inning_2_leadoff,Sinker
822806,2026-06-08,Batter_3,Sinker
822806,2026-06-08,Batter_2,Sinker
822806,2026-06-08,Batter_1,Sinker
823777,2026-06-14,Inning_3_leadoff,Sinker
823777,2026-06-14,Inning_2_leadoff,Sinker
823777,2026-06-14,Batter_3,Changeup
823777,2026-06-14,Batter_2,Sinker
823777,2026-06-14,Batter_1,Sinker
