game_pk,game_date,bucket,pitch_name
823651,2026-03-28,Inning_3_leadoff,Sinker
823651,2026-03-28,Inning_2_leadoff,Sinker
823651,2026-03-28,Batter_3,Sinker
823651,2026-03-28,Batter_2,Sinker
823651,2026-03-28,Batter_1,Sinker
823242,2026-04-02,Inning_3_leadoff,Changeup
823242,2026-04-02,Inning_2_leadoff,Curveball
823242,2026-04-02,Batter_3,Changeup
823242,2026-04-02,Batter_2,Sinker
823242,2026-04-02,Batter_1,Sinker
823646,2026-04-08,Inning_3_leadoff,4-Seam Fastball
823646,2026-04-08,Inning_2_leadoff,Curveball
823646,2026-04-08,Batter_3,Sinker
823646,2026-04-08,Batter_2,Sinker
823646,2026-04-08,Batter_1,Sinker
823964,2026-04-13,Inning_3_leadoff,Sinker
823964,2026-04-13,Inning_2_leadoff,4-Seam Fastball
823964,2026-04-13,Batter_3,4-Seam Fastball
823964,2026-04-13,Batter_2,Sinker
823964,2026-04-13,Batter_1,Sinker
823633,2026-04-29,Inning_3_leadoff,Slider
823633,2026-04-29,Inning_2_leadoff,4-Seam Fastball
823633,2026-04-29,Batter_3,Curveball
823633,2026-04-29,Batter_2,Sinker
823633,2026-04-29,Batter_1,Sinker
822733,2026-05-21,Inning_3_leadoff,Sinker
822733,2026-05-21,Inning_2_leadoff,Curveball
822733,2026-05-21,Batter_3,4-Seam Fastball
822733,2026-05-21,Batter_2,4-Seam Fastball
822733,2026-05-21,Batter_1,Sinker
823624,2026-05-26,Inning_3_leadoff,Curveball
823624,2026-05-26,Inning_2_leadoff,Slider
823624,2026-05-26,Batter_3,Sinker
823624,2026-05-26,Batter_2,Curveball
823624,2026-05-26,Batter_1,4-Seam Fastball
823449,2026-06-21,Inning_3_leadoff,Sinker
823449,2026-06-21,Inning_2_leadoff,4-Seam Fastball
823449,2026-06-21,Batter_3,Slider
823449,2026-06-21,Batter_2,Slider
823449,2026-06-21,Batter_1,4-Seam Fastball
