bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,5,29.4
Batter_1,Sinker,12,70.6
Batter_2,4-Seam Fastball,3,17.6
Batter_2,Curveball,2,11.8
Batter_2,Sinker,11,64.7
Batter_2,Slider,1,5.9
Batter_3,4-Seam Fastball,6,35.3
Batter_3,Changeup,2,11.8
Batter_3,Curveball,1,5.9
Batter_3,Sinker,6,35.3
Batter_3,Slider,2,11.8
Inning_2_leadoff,4-Seam Fastball,5,29.4
Inning_2_leadoff,Changeup,1,5.9
Inning_2_leadoff,Curveball,4,23.5
Inning_2_leadoff,Sinker,6,35.3
Inning_2_leadoff,Slider,1,5.9
Inning_3_leadoff,4-Seam Fastball,4,23.5
Inning_3_leadoff,Changeup,1,5.9
Inning_3_leadoff,Curveball,3,17.6
Inning_3_leadoff,Sinker,6,35.3
Inning_3_leadoff,Slider,3,17.6
