game_pk,game_date,bucket,pitch_name
824596,2026-05-27,Inning_3_leadoff,Curveball
824596,2026-05-27,Inning_2_leadoff,Cutter
824596,2026-05-27,Batter_3,Curveball
824596,2026-05-27,Batter_2,Curveball
824596,2026-05-27,Batter_1,4-Seam Fastball
823702,2026-06-01,Inning_3_leadoff,Curveball
823702,2026-06-01,Inning_2_leadoff,Curveball
823702,2026-06-01,Batter_3,Curveball
823702,2026-06-01,Batter_2,Cutter
823702,2026-06-01,Batter_1,Sinker
823453,2026-06-07,Inning_3_leadoff,Sinker
823453,2026-06-07,Inning_2_leadoff,4-Seam Fastball
823453,2026-06-07,Batter_2,4-Seam Fastball
823453,2026-06-07,Batter_1,Curveball
824582,2026-06-26,Inning_3_leadoff,4-Seam Fastball
824582,2026-06-26,Inning_2_leadoff,4-Seam Fastball
824582,2026-06-26,Batter_3,Sinker
824582,2026-06-26,Batter_2,4-Seam Fastball
824582,2026-06-26,Batter_1,4-Seam Fastball
