bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,8,88.9
Batter_1,Sinker,1,11.1
Batter_2,4-Seam Fastball,2,22.2
Batter_2,Cutter,1,11.1
Batter_2,Sinker,6,66.7
Batter_3,4-Seam Fastball,2,22.2
Batter_3,Curveball,2,22.2
Batter_3,Cutter,1,11.1
Batter_3,Sinker,1,11.1
Batter_3,Split-Finger,3,33.3
Inning_2_leadoff,4-Seam Fastball,3,33.3
Inning_2_leadoff,Curveball,4,44.4
Inning_2_leadoff,Cutter,2,22.2
Inning_3_leadoff,4-Seam Fastball,4,44.4
Inning_3_leadoff,Curveball,1,11.1
Inning_3_leadoff,Cutter,1,11.1
Inning_3_leadoff,Sinker,3,33.3
