game_pk,game_date,bucket,pitch_name
823081,2026-03-26,Inning_3_leadoff,Cutter
823081,2026-03-26,Inning_2_leadoff,Sinker
823081,2026-03-26,Batter_3,4-Seam Fastball
823081,2026-03-26,Batter_2,Sinker
823081,2026-03-26,Batter_1,4-Seam Fastball
823806,2026-04-01,Inning_3_leadoff,Cutter
823806,2026-04-01,Inning_2_leadoff,4-Seam Fastball
823806,2026-04-01,Batter_3,4-Seam Fastball
823806,2026-04-01,Batter_2,Cutter
823806,2026-04-01,Batter_1,4-Seam Fastball
822998,2026-04-12,Inning_3_leadoff,4-Seam Fastball
822998,2026-04-12,Inning_2_leadoff,4-Seam Fastball
822998,2026-04-12,Batter_3,Sinker
822998,2026-04-12,Batter_2,Cutter
822998,2026-04-12,Batter_1,4-Seam Fastball
823394,2026-04-18,Inning_3_leadoff,Sinker
823394,2026-04-18,Inning_2_leadoff,Cutter
823394,2026-04-18,Batter_3,4-Seam Fastball
823394,2026-04-18,Batter_2,Cutter
823394,2026-04-18,Batter_1,4-Seam Fastball
822992,2026-04-24,Inning_3_leadoff,Changeup
822992,2026-04-24,Inning_2_leadoff,4-Seam Fastball
822992,2026-04-24,Batter_3,Sinker
822992,2026-04-24,Batter_2,4-Seam Fastball
822992,2026-04-24,Batter_1,Sinker
824445,2026-04-29,Inning_3_leadoff,Curveball
824445,2026-04-29,Inning_2_leadoff,Cutter
824445,2026-04-29,Batter_3,Cutter
824445,2026-04-29,Batter_2,4-Seam Fastball
824445,2026-04-29,Batter_1,4-Seam Fastball
822986,2026-05-05,Inning_3_leadoff,Cutter
822986,2026-05-05,Inning_2_leadoff,Cutter
822986,2026-05-05,Batter_3,4-Seam Fastball
822986,2026-05-05,Batter_2,4-Seam Fastball
822986,2026-05-05,Batter_1,Sinker
822818,2026-05-11,Inning_3_leadoff,Cutter
822818,2026-05-11,Inning_2_leadoff,Cutter
822818,2026-05-11,Batter_3,Cutter
822818,2026-05-11,Batter_2,4-Seam Fastball
822818,2026-05-11,Batter_1,Cutter
822982,2026-05-17,Inning_3_leadoff,Changeup
822982,2026-05-17,Inning_2_leadoff,Sinker
822982,2026-05-17,Batter_3,4-Seam Fastball
822982,2026-05-17,Batter_2,Cutter
822982,2026-05-17,Batter_1,4-Seam Fastball
823544,2026-05-24,Inning_3_leadoff,Cutter
823544,2026-05-24,Inning_2_leadoff,4-Seam Fastball
823544,2026-05-24,Batter_3,Changeup
823544,2026-05-24,Batter_2,Cutter
823544,2026-05-24,Batter_1,4-Seam Fastball
822975,2026-05-30,Inning_3_leadoff,Sweeper
822975,2026-05-30,Inning_2_leadoff,4-Seam Fastball
822975,2026-05-30,Batter_3,4-Seam Fastball
822975,2026-05-30,Batter_2,4-Seam Fastball
822975,2026-05-30,Batter_1,Sinker
823860,2026-06-05,Inning_3_leadoff,Cutter
823860,2026-06-05,Inning_2_leadoff,4-Seam Fastball
823860,2026-06-05,Batter_3,4-Seam Fastball
823860,2026-06-05,Batter_2,4-Seam Fastball
823860,2026-06-05,Batter_1,4-Seam Fastball
822970,2026-06-10,Inning_3_leadoff,Cutter
822970,2026-06-10,Inning_2_leadoff,4-Seam Fastball
822970,2026-06-10,Batter_3,4-Seam Fastball
822970,2026-06-10,Batter_2,Cutter
822970,2026-06-10,Batter_1,4-Seam Fastball
823939,2026-06-16,Inning_3_leadoff,Changeup
823939,2026-06-16,Inning_2_leadoff,Cutter
823939,2026-06-16,Batter_3,4-Seam Fastball
823939,2026-06-16,Batter_2,4-Seam Fastball
823939,2026-06-16,Batter_1,4-Seam Fastball
822964,2026-06-22,Inning_3_leadoff,4-Seam Fastball
822964,2026-06-22,Inning_2_leadoff,4-Seam Fastball
822964,2026-06-22,Batter_3,Changeup
822964,2026-06-22,Batter_2,4-Seam Fastball
822964,2026-06-22,Batter_1,4-Seam Fastball
