bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,26,92.9
Batter_1,Cutter,2,7.1
Batter_2,4-Seam Fastball,19,67.9
Batter_2,Cutter,4,14.3
Batter_2,Sinker,5,17.9
Batter_3,4-Seam Fastball,11,39.3
Batter_3,Curveball,3,10.7
Batter_3,Cutter,6,21.4
Batter_3,Sinker,8,28.6
Inning_2_leadoff,4-Seam Fastball,13,46.4
Inning_2_leadoff,Curveball,6,21.4
Inning_2_leadoff,Cutter,5,17.9
Inning_2_leadoff,Sinker,4,14.3
Inning_3_leadoff,4-Seam Fastball,10,38.5
Inning_3_leadoff,Curveball,6,23.1
Inning_3_leadoff,Cutter,5,19.2
Inning_3_leadoff,Sinker,4,15.4
Inning_3_leadoff,Sweeper,1,3.8
