game_pk,game_date,bucket,pitch_name
823079,2026-03-29,Inning_3_leadoff,Sweeper
823079,2026-03-29,Inning_2_leadoff,4-Seam Fastball
823079,2026-03-29,Batter_3,Curveball
823079,2026-03-29,Batter_2,4-Seam Fastball
823079,2026-03-29,Batter_1,Sinker
824295,2026-04-04,Inning_3_leadoff,Cutter
824295,2026-04-04,Inning_2_leadoff,Curveball
824295,2026-04-04,Batter_3,Cutter
824295,2026-04-04,Batter_2,Sweeper
824295,2026-04-04,Batter_1,4-Seam Fastball
823076,2026-04-10,Inning_3_leadoff,Cutter
823076,2026-04-10,Inning_2_leadoff,4-Seam Fastball
823076,2026-04-10,Batter_3,Sweeper
823076,2026-04-10,Batter_2,4-Seam Fastball
823076,2026-04-10,Batter_1,4-Seam Fastball
823071,2026-04-15,Inning_3_leadoff,4-Seam Fastball
823071,2026-04-15,Inning_2_leadoff,4-Seam Fastball
823071,2026-04-15,Batter_3,Cutter
823071,2026-04-15,Batter_2,4-Seam Fastball
823071,2026-04-15,Batter_1,Cutter
823880,2026-04-21,Inning_3_leadoff,Sinker
823880,2026-04-21,Inning_2_leadoff,Sinker
823880,2026-04-21,Batter_3,Sweeper
823880,2026-04-21,Batter_2,4-Seam Fastball
823880,2026-04-21,Batter_1,4-Seam Fastball
823395,2026-04-27,Inning_3_leadoff,4-Seam Fastball
823395,2026-04-27,Inning_2_leadoff,Sinker
823395,2026-04-27,Batter_3,Sinker
823395,2026-04-27,Batter_2,Sweeper
823395,2026-04-27,Batter_1,4-Seam Fastball
823065,2026-05-03,Inning_3_leadoff,Changeup
823065,2026-05-03,Inning_2_leadoff,Sweeper
823065,2026-05-03,Batter_3,Sinker
823065,2026-05-03,Batter_2,Curveball
823065,2026-05-03,Batter_1,Cutter
823304,2026-05-09,Inning_3_leadoff,Cutter
823304,2026-05-09,Inning_2_leadoff,Cutter
823304,2026-05-09,Batter_3,Cutter
823304,2026-05-09,Batter_2,Sinker
823304,2026-05-09,Batter_1,4-Seam Fastball
823061,2026-05-15,Inning_3_leadoff,4-Seam Fastball
823061,2026-05-15,Inning_2_leadoff,4-Seam Fastball
823061,2026-05-15,Batter_3,4-Seam Fastball
823061,2026-05-15,Batter_2,4-Seam Fastball
823061,2026-05-15,Batter_1,Sinker
823056,2026-05-21,Inning_3_leadoff,Cutter
823056,2026-05-21,Inning_2_leadoff,Sinker
823056,2026-05-21,Batter_3,Curveball
823056,2026-05-21,Batter_2,4-Seam Fastball
823056,2026-05-21,Batter_1,4-Seam Fastball
823783,2026-05-27,Inning_3_leadoff,4-Seam Fastball
823783,2026-05-27,Inning_2_leadoff,Cutter
823783,2026-05-27,Batter_3,Cutter
823783,2026-05-27,Batter_2,4-Seam Fastball
823783,2026-05-27,Batter_1,4-Seam Fastball
823052,2026-06-02,Inning_3_leadoff,Sweeper
823052,2026-06-02,Inning_2_leadoff,Changeup
823052,2026-06-02,Batter_3,Curveball
823052,2026-06-02,Batter_2,Sinker
823052,2026-06-02,Batter_1,Cutter
823620,2026-06-09,Inning_3_leadoff,Curveball
823620,2026-06-09,Inning_2_leadoff,Sweeper
823620,2026-06-09,Batter_3,Sweeper
823620,2026-06-09,Batter_2,Sinker
823620,2026-06-09,Batter_1,4-Seam Fastball
823046,2026-06-15,Inning_3_leadoff,4-Seam Fastball
823046,2026-06-15,Inning_2_leadoff,Curveball
823046,2026-06-15,Batter_3,Sinker
823046,2026-06-15,Batter_2,Sweeper
823046,2026-06-15,Batter_1,Sinker
824095,2026-06-21,Inning_2_leadoff,4-Seam Fastball
824095,2026-06-21,Batter_3,4-Seam Fastball
824095,2026-06-21,Batter_2,Sinker
824095,2026-06-21,Batter_1,4-Seam Fastball
824906,2026-07-02,Batter_3,Curveball
824906,2026-07-02,Batter_2,4-Seam Fastball
824906,2026-07-02,Batter_1,4-Seam Fastball
823036,2026-07-06,Inning_3_leadoff,4-Seam Fastball
823036,2026-07-06,Inning_2_leadoff,Sinker
823036,2026-07-06,Batter_3,Cutter
823036,2026-07-06,Batter_2,4-Seam Fastball
823036,2026-07-06,Batter_1,4-Seam Fastball
