bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,9,50.0
Batter_2,Knuckle Curve,1,5.6
Batter_2,Sinker,2,11.1
Batter_2,Slider,6,33.3
Batter_3,4-Seam Fastball,9,50.0
Batter_3,Knuckle Curve,1,5.6
Batter_3,Slider,8,44.4
Inning_2_leadoff,4-Seam Fastball,11,61.1
Inning_2_leadoff,Knuckle Curve,1,5.6
Inning_2_leadoff,Slider,5,27.8
Inning_2_leadoff,Sweeper,1,5.6
Inning_3_leadoff,4-Seam Fastball,11,61.1
Inning_3_leadoff,Knuckle Curve,3,16.7
Inning_3_leadoff,Slider,3,16.7
Inning_3_leadoff,Sweeper,1,5.6
