bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,16,94.1
Batter_1,Cutter,1,5.9
Batter_2,4-Seam Fastball,13,76.5
Batter_2,Cutter,3,17.6
Batter_2,Slider,1,5.9
Batter_3,4-Seam Fastball,8,47.1
Batter_3,Changeup,1,5.9
Batter_3,Curveball,1,5.9
Batter_3,Cutter,3,17.6
Batter_3,Sinker,3,17.6
Batter_3,Slider,1,5.9
Inning_2_leadoff,4-Seam Fastball,15,88.2
Inning_2_leadoff,Cutter,1,5.9
Inning_2_leadoff,Sinker,1,5.9
Inning_3_leadoff,4-Seam Fastball,11,64.7
Inning_3_leadoff,Cutter,4,23.5
Inning_3_leadoff,Sinker,1,5.9
Inning_3_leadoff,Slider,1,5.9
