game_pk,game_date,bucket,pitch_name
778369,2025-04-11,Inning_3_leadoff,SL
778369,2025-04-11,Inning_2_leadoff,CU
778369,2025-04-11,Batter_3,SL
778369,2025-04-11,Batter_2,CU
778291,2025-04-17,Inning_3_leadoff,FF
778291,2025-04-17,Inning_2_leadoff,SI
778291,2025-04-17,Batter_3,FF
778291,2025-04-17,Batter_2,FF
778219,2025-04-22,Inning_3_leadoff,SI
778219,2025-04-22,Inning_2_leadoff,SL
778219,2025-04-22,Batter_3,CH
778219,2025-04-22,Batter_2,SI
778132,2025-04-28,Inning_3_leadoff,SI
778132,2025-04-28,Inning_2_leadoff,CH
778132,2025-04-28,Batter_3,SI
778132,2025-04-28,Batter_2,CH
778061,2025-05-04,Inning_3_leadoff,CH
778061,2025-05-04,Inning_2_leadoff,SI
778061,2025-05-04,Batter_3,FF
778061,2025-05-04,Batter_2,SI
777978,2025-05-10,Inning_3_leadoff,CU
777978,2025-05-10,Inning_2_leadoff,CH
777978,2025-05-10,Batter_3,SI
777978,2025-05-10,Batter_2,CU
777863,2025-05-19,Inning_3_leadoff,SI
777863,2025-05-19,Inning_2_leadoff,SI
777863,2025-05-19,Batter_3,SI
777863,2025-05-19,Batter_2,CU
777767,2025-05-25,Inning_3_leadoff,CU
777767,2025-05-25,Inning_2_leadoff,FF
777767,2025-05-25,Batter_3,CH
777767,2025-05-25,Batter_2,CU
777705,2025-05-31,Inning_3_leadoff,FF
777705,2025-05-31,Inning_2_leadoff,SL
777705,2025-05-31,Batter_3,CU
777705,2025-05-31,Batter_2,FF
777625,2025-06-06,Inning_3_leadoff,CH
777625,2025-06-06,Inning_2_leadoff,FF
777625,2025-06-06,Batter_3,SI
777625,2025-06-06,Batter_2,FF
777530,2025-06-13,Inning_3_leadoff,FF
777530,2025-06-13,Inning_2_leadoff,FF
777530,2025-06-13,Batter_3,CU
777530,2025-06-13,Batter_2,SI
777444,2025-06-19,Inning_3_leadoff,CU
777444,2025-06-19,Inning_2_leadoff,SL
777444,2025-06-19,Batter_3,SI
777444,2025-06-19,Batter_2,SI
777355,2025-06-25,Inning_3_leadoff,FF
777355,2025-06-25,Inning_2_leadoff,FF
777355,2025-06-25,Batter_3,FF
777355,2025-06-25,Batter_2,CH
