game_pk,game_date,bucket,pitch_name
823160,2026-03-29,Inning_3_leadoff,4-Seam Fastball
823160,2026-03-29,Inning_2_leadoff,4-Seam Fastball
823160,2026-03-29,Batter_3,4-Seam Fastball
823160,2026-03-29,Batter_2,4-Seam Fastball
823160,2026-03-29,Batter_1,4-Seam Fastball
824054,2026-04-04,Inning_3_leadoff,4-Seam Fastball
824054,2026-04-04,Inning_2_leadoff,Sinker
824054,2026-04-04,Batter_3,4-Seam Fastball
824054,2026-04-04,Batter_2,4-Seam Fastball
824054,2026-04-04,Batter_1,Sinker
823156,2026-04-10,Inning_3_leadoff,Cutter
823156,2026-04-10,Inning_2_leadoff,4-Seam Fastball
823156,2026-04-10,Batter_3,4-Seam Fastball
823156,2026-04-10,Batter_2,4-Seam Fastball
823156,2026-04-10,Batter_1,Sinker
823314,2026-04-15,Inning_3_leadoff,Sinker
823314,2026-04-15,Inning_2_leadoff,Sinker
823314,2026-04-15,Batter_3,4-Seam Fastball
823314,2026-04-15,Batter_2,4-Seam Fastball
823314,2026-04-15,Batter_1,4-Seam Fastball
823149,2026-04-20,Inning_3_leadoff,Sinker
823149,2026-04-20,Inning_2_leadoff,Sinker
823149,2026-04-20,Batter_3,4-Seam Fastball
823149,2026-04-20,Batter_2,4-Seam Fastball
823149,2026-04-20,Batter_1,4-Seam Fastball
823068,2026-04-26,Inning_3_leadoff,Cutter
823068,2026-04-26,Inning_2_leadoff,Sinker
823068,2026-04-26,Batter_3,Cutter
823068,2026-04-26,Batter_2,4-Seam Fastball
823068,2026-04-26,Batter_1,Sinker
823144,2026-05-02,Inning_3_leadoff,4-Seam Fastball
823144,2026-05-02,Inning_2_leadoff,Sweeper
823144,2026-05-02,Batter_3,Sinker
823144,2026-05-02,Batter_2,Sinker
823144,2026-05-02,Batter_1,4-Seam Fastball
824607,2026-05-08,Inning_3_leadoff,Sinker
824607,2026-05-08,Inning_2_leadoff,4-Seam Fastball
824607,2026-05-08,Batter_3,Sinker
824607,2026-05-08,Batter_2,4-Seam Fastball
824607,2026-05-08,Batter_1,Sinker
823140,2026-05-15,Inning_3_leadoff,Sinker
823140,2026-05-15,Inning_2_leadoff,4-Seam Fastball
823140,2026-05-15,Batter_3,Sinker
823140,2026-05-15,Batter_2,Sinker
823140,2026-05-15,Batter_1,4-Seam Fastball
823134,2026-05-20,Inning_3_leadoff,Sinker
823134,2026-05-20,Inning_2_leadoff,4-Seam Fastball
823134,2026-05-20,Batter_3,4-Seam Fastball
823134,2026-05-20,Batter_2,Cutter
823134,2026-05-20,Batter_1,4-Seam Fastball
825004,2026-05-26,Inning_3_leadoff,Sinker
825004,2026-05-26,Inning_2_leadoff,4-Seam Fastball
825004,2026-05-26,Batter_3,4-Seam Fastball
825004,2026-05-26,Batter_2,4-Seam Fastball
825004,2026-05-26,Batter_1,4-Seam Fastball
823131,2026-06-01,Inning_3_leadoff,4-Seam Fastball
823131,2026-06-01,Inning_2_leadoff,4-Seam Fastball
823131,2026-06-01,Batter_3,4-Seam Fastball
823131,2026-06-01,Batter_2,Sinker
823131,2026-06-01,Batter_1,4-Seam Fastball
824829,2026-06-08,Inning_3_leadoff,Sinker
824829,2026-06-08,Inning_2_leadoff,4-Seam Fastball
824829,2026-06-08,Batter_3,Sinker
824829,2026-06-08,Batter_2,4-Seam Fastball
824829,2026-06-08,Batter_1,Sinker
822722,2026-06-14,Inning_3_leadoff,4-Seam Fastball
822722,2026-06-14,Inning_2_leadoff,Sinker
822722,2026-06-14,Batter_3,Sinker
822722,2026-06-14,Batter_2,Sinker
822722,2026-06-14,Batter_1,4-Seam Fastball
823126,2026-06-20,Inning_3_leadoff,4-Seam Fastball
823126,2026-06-20,Inning_2_leadoff,4-Seam Fastball
823126,2026-06-20,Batter_3,4-Seam Fastball
823126,2026-06-20,Batter_2,Sinker
823126,2026-06-20,Batter_1,Sinker
824422,2026-06-28,Inning_3_leadoff,4-Seam Fastball
824422,2026-06-28,Inning_2_leadoff,4-Seam Fastball
824422,2026-06-28,Batter_3,Cutter
824422,2026-06-28,Batter_2,Cutter
824422,2026-06-28,Batter_1,4-Seam Fastball
823117,2026-07-05,Inning_3_leadoff,4-Seam Fastball
823117,2026-07-05,Inning_2_leadoff,4-Seam Fastball
823117,2026-07-05,Batter_3,4-Seam Fastball
823117,2026-07-05,Batter_2,Sinker
823117,2026-07-05,Batter_1,4-Seam Fastball
