game_pk,game_date,bucket,pitch_name
823971,2026-03-27,Inning_3_leadoff,4-Seam Fastball
823971,2026-03-27,Inning_2_leadoff,Slider
823971,2026-03-27,Batter_3,Curveball
823971,2026-03-27,Batter_2,Changeup
823971,2026-03-27,Batter_1,4-Seam Fastball
822758,2026-04-03,Inning_3_leadoff,Curveball
822758,2026-04-03,Inning_2_leadoff,4-Seam Fastball
822758,2026-04-03,Batter_3,Changeup
822758,2026-04-03,Batter_2,Changeup
822758,2026-04-03,Batter_1,4-Seam Fastball
823967,2026-04-11,Inning_3_leadoff,4-Seam Fastball
823967,2026-04-11,Inning_2_leadoff,4-Seam Fastball
823967,2026-04-11,Batter_3,Curveball
823967,2026-04-11,Batter_2,4-Seam Fastball
823967,2026-04-11,Batter_1,4-Seam Fastball
824372,2026-04-18,Inning_3_leadoff,4-Seam Fastball
824372,2026-04-18,Inning_2_leadoff,4-Seam Fastball
824372,2026-04-18,Batter_3,Curveball
824372,2026-04-18,Batter_2,Changeup
824372,2026-04-18,Batter_1,4-Seam Fastball
823962,2026-04-24,Inning_3_leadoff,4-Seam Fastball
823962,2026-04-24,Inning_2_leadoff,4-Seam Fastball
823962,2026-04-24,Batter_3,Slider
823962,2026-04-24,Batter_2,4-Seam Fastball
823962,2026-04-24,Batter_1,4-Seam Fastball
823066,2026-05-01,Inning_3_leadoff,4-Seam Fastball
823066,2026-05-01,Inning_2_leadoff,Slider
823066,2026-05-01,Batter_3,Changeup
823066,2026-05-01,Batter_2,4-Seam Fastball
823066,2026-05-01,Batter_1,4-Seam Fastball
823957,2026-05-08,Inning_3_leadoff,Changeup
823957,2026-05-08,Inning_2_leadoff,4-Seam Fastball
823957,2026-05-08,Batter_3,4-Seam Fastball
823957,2026-05-08,Batter_2,4-Seam Fastball
823957,2026-05-08,Batter_1,4-Seam Fastball
823950,2026-05-14,Inning_3_leadoff,Slider
823950,2026-05-14,Inning_2_leadoff,Curveball
823950,2026-05-14,Batter_3,Slider
823950,2026-05-14,Batter_2,4-Seam Fastball
823950,2026-05-14,Batter_1,4-Seam Fastball
823302,2026-05-19,Inning_3_leadoff,Slider
823302,2026-05-19,Inning_2_leadoff,4-Seam Fastball
823302,2026-05-19,Batter_3,4-Seam Fastball
823302,2026-05-19,Batter_2,4-Seam Fastball
823302,2026-05-19,Batter_1,4-Seam Fastball
823948,2026-05-25,Inning_3_leadoff,4-Seam Fastball
823948,2026-05-25,Inning_2_leadoff,4-Seam Fastball
823948,2026-05-25,Batter_3,Curveball
823948,2026-05-25,Batter_2,4-Seam Fastball
823948,2026-05-25,Batter_1,4-Seam Fastball
825078,2026-06-01,Inning_3_leadoff,4-Seam Fastball
825078,2026-06-01,Inning_2_leadoff,4-Seam Fastball
825078,2026-06-01,Batter_3,Curveball
825078,2026-06-01,Batter_2,4-Seam Fastball
825078,2026-06-01,Batter_1,4-Seam Fastball
823941,2026-06-07,Inning_2_leadoff,Slider
823941,2026-06-07,Batter_3,Curveball
823941,2026-06-07,Batter_2,4-Seam Fastball
823941,2026-06-07,Batter_1,4-Seam Fastball
824586,2026-06-14,Inning_3_leadoff,Curveball
824586,2026-06-14,Inning_2_leadoff,Slider
824586,2026-06-14,Batter_3,Slider
824586,2026-06-14,Batter_2,4-Seam Fastball
824586,2026-06-14,Batter_1,4-Seam Fastball
823934,2026-06-21,Inning_3_leadoff,Slider
823934,2026-06-21,Inning_2_leadoff,4-Seam Fastball
823934,2026-06-21,Batter_3,4-Seam Fastball
823934,2026-06-21,Batter_2,Slider
823934,2026-06-21,Batter_1,4-Seam Fastball
823281,2026-06-28,Inning_3_leadoff,4-Seam Fastball
823281,2026-06-28,Inning_2_leadoff,Slider
823281,2026-06-28,Batter_3,4-Seam Fastball
823281,2026-06-28,Batter_2,4-Seam Fastball
823281,2026-06-28,Batter_1,4-Seam Fastball
823931,2026-07-05,Inning_3_leadoff,Slider
823931,2026-07-05,Inning_2_leadoff,Curveball
823931,2026-07-05,Batter_3,Slider
823931,2026-07-05,Batter_2,Curveball
823931,2026-07-05,Batter_1,4-Seam Fastball
823925,2026-07-12,Inning_3_leadoff,Slider
823925,2026-07-12,Inning_2_leadoff,4-Seam Fastball
823925,2026-07-12,Batter_3,4-Seam Fastball
823925,2026-07-12,Batter_2,Curveball
823925,2026-07-12,Batter_1,4-Seam Fastball
