bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,100.0
Batter_2,4-Seam Fastball,11,57.9
Batter_2,Changeup,3,15.8
Batter_2,Curveball,3,15.8
Batter_2,Slider,2,10.5
Batter_3,4-Seam Fastball,6,31.6
Batter_3,Changeup,2,10.5
Batter_3,Curveball,6,31.6
Batter_3,Slider,5,26.3
Inning_2_leadoff,4-Seam Fastball,11,57.9
Inning_2_leadoff,Curveball,2,10.5
Inning_2_leadoff,Slider,6,31.6
Inning_3_leadoff,4-Seam Fastball,9,50.0
Inning_3_leadoff,Changeup,1,5.6
Inning_3_leadoff,Curveball,2,11.1
Inning_3_leadoff,Slider,6,33.3
