game_pk,game_date,bucket,pitch_name
777886,2025-05-17,Inning_3_leadoff,SL
777886,2025-05-17,Inning_2_leadoff,CU
777886,2025-05-17,Batter_3,SL
777886,2025-05-17,Batter_2,FF
777810,2025-05-23,Inning_3_leadoff,FF
777810,2025-05-23,Inning_2_leadoff,FF
777810,2025-05-23,Batter_3,FF
777810,2025-05-23,Batter_2,CU
777545,2025-06-11,Inning_3_leadoff,FF
777545,2025-06-11,Inning_2_leadoff,FF
777545,2025-06-11,Batter_3,FC
777545,2025-06-11,Batter_2,FF
777462,2025-06-18,Inning_3_leadoff,FF
777462,2025-06-18,Inning_2_leadoff,FF
777462,2025-06-18,Batter_3,CU
777462,2025-06-18,Batter_2,FC
777384,2025-06-24,Inning_3_leadoff,FF
777384,2025-06-24,Inning_2_leadoff,CU
777384,2025-06-24,Batter_3,CU
777384,2025-06-24,Batter_2,FF
777310,2025-06-29,Inning_3_leadoff,FC
777310,2025-06-29,Inning_2_leadoff,FF
777310,2025-06-29,Batter_3,FF
777310,2025-06-29,Batter_2,FF
