bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,14,100.0
Batter_2,4-Seam Fastball,7,50.0
Batter_2,Cutter,5,35.7
Batter_2,Slider,2,14.3
Batter_3,4-Seam Fastball,2,14.3
Batter_3,Changeup,1,7.1
Batter_3,Curveball,5,35.7
Batter_3,Cutter,5,35.7
Batter_3,Slider,1,7.1
Inning_2_leadoff,4-Seam Fastball,11,78.6
Inning_2_leadoff,Cutter,3,21.4
Inning_3_leadoff,4-Seam Fastball,7,50.0
Inning_3_leadoff,Changeup,1,7.1
Inning_3_leadoff,Curveball,4,28.6
Inning_3_leadoff,Cutter,1,7.1
Inning_3_leadoff,Slider,1,7.1
