bucket,pitch_name,count,pct
Batter_1,Changeup,1,6.7
Batter_1,Cutter,1,6.7
Batter_1,Sinker,12,80.0
Batter_1,Sweeper,1,6.7
Batter_2,Changeup,1,7.1
Batter_2,Cutter,3,21.4
Batter_2,Sinker,6,42.9
Batter_2,Sweeper,4,28.6
Batter_3,Cutter,5,38.5
Batter_3,Sinker,2,15.4
Batter_3,Sweeper,6,46.2
Inning_2_leadoff,Cutter,2,13.3
Inning_2_leadoff,Sinker,8,53.3
Inning_2_leadoff,Sweeper,5,33.3
Inning_3_leadoff,Changeup,1,6.7
Inning_3_leadoff,Cutter,2,13.3
Inning_3_leadoff,Sinker,7,46.7
Inning_3_leadoff,Sweeper,5,33.3
