bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,61.1
Batter_1,Cutter,6,33.3
Batter_1,Sinker,1,5.6
Batter_2,4-Seam Fastball,2,11.1
Batter_2,Curveball,2,11.1
Batter_2,Cutter,10,55.6
Batter_2,Sinker,3,16.7
Batter_2,Sweeper,1,5.6
Batter_3,4-Seam Fastball,5,27.8
Batter_3,Curveball,3,16.7
Batter_3,Cutter,6,33.3
Batter_3,Sinker,2,11.1
Batter_3,Sweeper,2,11.1
Inning_2_leadoff,4-Seam Fastball,1,5.6
Inning_2_leadoff,Curveball,4,22.2
Inning_2_leadoff,Cutter,9,50.0
Inning_2_leadoff,Sinker,2,11.1
Inning_2_leadoff,Sweeper,2,11.1
Inning_3_leadoff,4-Seam Fastball,8,44.4
Inning_3_leadoff,Changeup,1,5.6
Inning_3_leadoff,Curveball,1,5.6
Inning_3_leadoff,Cutter,4,22.2
Inning_3_leadoff,Sweeper,4,22.2
