game_pk,game_date,bucket,pitch_name
778559,2025-03-27,Inning_3_leadoff,Changeup
778559,2025-03-27,Inning_2_leadoff,Sinker
778559,2025-03-27,Batter_3,Curveball
778559,2025-03-27,Batter_2,Sinker
778475,2025-04-02,Inning_3_leadoff,Changeup
778475,2025-04-02,Inning_2_leadoff,Sinker
778475,2025-04-02,Batter_3,Sinker
778475,2025-04-02,Batter_2,Sinker
778237,2025-04-20,Inning_3_leadoff,Changeup
778237,2025-04-20,Inning_2_leadoff,Sinker
778237,2025-04-20,Batter_3,Curveball
778237,2025-04-20,Batter_2,Sinker
777931,2025-05-13,Inning_3_leadoff,4-Seam Fastball
777931,2025-05-13,Inning_2_leadoff,Sinker
777931,2025-05-13,Batter_3,Sinker
777931,2025-05-13,Batter_2,Sinker
777787,2025-05-24,Inning_3_leadoff,Sinker
777787,2025-05-24,Inning_2_leadoff,Sinker
777787,2025-05-24,Batter_3,Changeup
777787,2025-05-24,Batter_2,Sinker
777714,2025-05-30,Inning_3_leadoff,Sinker
777714,2025-05-30,Inning_2_leadoff,Sinker
777714,2025-05-30,Batter_3,Curveball
777714,2025-05-30,Batter_2,Sinker
777546,2025-06-12,Inning_3_leadoff,Sinker
777546,2025-06-12,Inning_2_leadoff,Sinker
777546,2025-06-12,Batter_3,Sinker
777546,2025-06-12,Batter_2,Sinker
777377,2025-06-24,Inning_3_leadoff,Curveball
777377,2025-06-24,Inning_2_leadoff,Sinker
777377,2025-06-24,Batter_3,Curveball
777377,2025-06-24,Batter_2,Curveball
777308,2025-06-29,Inning_3_leadoff,Sinker
777308,2025-06-29,Inning_2_leadoff,Sinker
777308,2025-06-29,Batter_3,Sinker
777308,2025-06-29,Batter_2,Sinker
