bucket,pitch_name,count,pct
Batter_1,Sinker,31,100.0
Batter_2,Changeup,1,3.2
Batter_2,Curveball,8,25.8
Batter_2,Sinker,22,71.0
Batter_3,Changeup,4,12.9
Batter_3,Curveball,11,35.5
Batter_3,Sinker,14,45.2
Batter_3,Slider,2,6.5
Inning_2_leadoff,4-Seam Fastball,1,3.3
Inning_2_leadoff,Changeup,6,20.0
Inning_2_leadoff,Curveball,5,16.7
Inning_2_leadoff,Sinker,18,60.0
Inning_3_leadoff,4-Seam Fastball,1,3.3
Inning_3_leadoff,Changeup,6,20.0
Inning_3_leadoff,Curveball,7,23.3
Inning_3_leadoff,Sinker,14,46.7
Inning_3_leadoff,Slider,2,6.7
