game_pk,game_date,bucket,pitch_name
823649,2026-03-26,Inning_3_leadoff,4-Seam Fastball
823649,2026-03-26,Inning_2_leadoff,4-Seam Fastball
823649,2026-03-26,Batter_3,4-Seam Fastball
823649,2026-03-26,Batter_2,Curveball
823649,2026-03-26,Batter_1,4-Seam Fastball
823078,2026-04-01,Inning_3_leadoff,Curveball
823078,2026-04-01,Inning_2_leadoff,4-Seam Fastball
823078,2026-04-01,Batter_3,Curveball
823078,2026-04-01,Batter_2,4-Seam Fastball
823078,2026-04-01,Batter_1,4-Seam Fastball
823648,2026-04-07,Inning_3_leadoff,Curveball
823648,2026-04-07,Inning_2_leadoff,4-Seam Fastball
823648,2026-04-07,Batter_3,4-Seam Fastball
823648,2026-04-07,Batter_2,Curveball
823648,2026-04-07,Batter_1,4-Seam Fastball
823642,2026-04-12,Inning_3_leadoff,4-Seam Fastball
823642,2026-04-12,Inning_2_leadoff,4-Seam Fastball
823642,2026-04-12,Batter_3,4-Seam Fastball
823642,2026-04-12,Batter_2,Curveball
823642,2026-04-12,Batter_1,4-Seam Fastball
824694,2026-04-18,Inning_3_leadoff,4-Seam Fastball
824694,2026-04-18,Inning_2_leadoff,4-Seam Fastball
824694,2026-04-18,Batter_3,4-Seam Fastball
824694,2026-04-18,Batter_2,4-Seam Fastball
824694,2026-04-18,Batter_1,4-Seam Fastball
823638,2026-04-24,Inning_3_leadoff,4-Seam Fastball
823638,2026-04-24,Inning_2_leadoff,4-Seam Fastball
823638,2026-04-24,Batter_3,4-Seam Fastball
823638,2026-04-24,Batter_2,4-Seam Fastball
823638,2026-04-24,Batter_1,4-Seam Fastball
823634,2026-04-30,Inning_3_leadoff,Curveball
823634,2026-04-30,Inning_2_leadoff,4-Seam Fastball
823634,2026-04-30,Batter_3,Changeup
823634,2026-04-30,Batter_2,Changeup
823634,2026-04-30,Batter_1,4-Seam Fastball
824361,2026-05-06,Inning_3_leadoff,4-Seam Fastball
824361,2026-05-06,Inning_2_leadoff,4-Seam Fastball
824361,2026-05-06,Batter_3,4-Seam Fastball
824361,2026-05-06,Batter_2,4-Seam Fastball
824361,2026-05-06,Batter_1,4-Seam Fastball
823632,2026-05-12,Inning_3_leadoff,4-Seam Fastball
823632,2026-05-12,Inning_2_leadoff,4-Seam Fastball
823632,2026-05-12,Batter_3,4-Seam Fastball
823632,2026-05-12,Batter_2,4-Seam Fastball
823632,2026-05-12,Batter_1,4-Seam Fastball
823628,2026-05-17,Inning_3_leadoff,Curveball
823628,2026-05-17,Inning_2_leadoff,4-Seam Fastball
823628,2026-05-17,Batter_3,4-Seam Fastball
823628,2026-05-17,Batter_2,4-Seam Fastball
823628,2026-05-17,Batter_1,4-Seam Fastball
823862,2026-05-23,Inning_3_leadoff,Changeup
823862,2026-05-23,Inning_2_leadoff,4-Seam Fastball
823862,2026-05-23,Batter_3,4-Seam Fastball
823862,2026-05-23,Batter_2,4-Seam Fastball
823862,2026-05-23,Batter_1,4-Seam Fastball
823623,2026-05-29,Inning_3_leadoff,4-Seam Fastball
823623,2026-05-29,Inning_2_leadoff,4-Seam Fastball
823623,2026-05-29,Batter_3,4-Seam Fastball
823623,2026-05-29,Batter_2,4-Seam Fastball
823623,2026-05-29,Batter_1,4-Seam Fastball
823130,2026-06-03,Inning_3_leadoff,Changeup
823130,2026-06-03,Inning_2_leadoff,4-Seam Fastball
823130,2026-06-03,Batter_3,4-Seam Fastball
823130,2026-06-03,Batter_2,4-Seam Fastball
823130,2026-06-03,Batter_1,4-Seam Fastball
823620,2026-06-09,Inning_3_leadoff,4-Seam Fastball
823620,2026-06-09,Inning_2_leadoff,4-Seam Fastball
823620,2026-06-09,Batter_3,4-Seam Fastball
823620,2026-06-09,Batter_2,4-Seam Fastball
823620,2026-06-09,Batter_1,4-Seam Fastball
823615,2026-06-14,Inning_3_leadoff,Curveball
823615,2026-06-14,Inning_2_leadoff,4-Seam Fastball
823615,2026-06-14,Batter_3,4-Seam Fastball
823615,2026-06-14,Batter_2,4-Seam Fastball
823615,2026-06-14,Batter_1,4-Seam Fastball
