game_pk,game_date,bucket,pitch_name
823162,2026-03-27,Inning_3_leadoff,4-Seam Fastball
823162,2026-03-27,Inning_2_leadoff,4-Seam Fastball
823162,2026-03-27,Batter_3,Sweeper
823162,2026-03-27,Batter_2,Curveball
823162,2026-03-27,Batter_1,Cutter
823970,2026-04-01,Inning_3_leadoff,Sinker
823970,2026-04-01,Inning_2_leadoff,Curveball
823970,2026-04-01,Batter_3,4-Seam Fastball
823970,2026-04-01,Batter_2,Cutter
823970,2026-04-01,Batter_1,Cutter
824457,2026-04-07,Inning_3_leadoff,4-Seam Fastball
824457,2026-04-07,Inning_2_leadoff,Sweeper
824457,2026-04-07,Batter_3,Cutter
824457,2026-04-07,Batter_2,4-Seam Fastball
824457,2026-04-07,Batter_1,Sinker
823073,2026-04-13,Inning_3_leadoff,Sinker
823073,2026-04-13,Inning_2_leadoff,4-Seam Fastball
823073,2026-04-13,Batter_3,Cutter
823073,2026-04-13,Batter_2,Sweeper
823073,2026-04-13,Batter_1,4-Seam Fastball
824451,2026-04-18,Inning_3_leadoff,Curveball
824451,2026-04-18,Inning_2_leadoff,Sweeper
824451,2026-04-18,Batter_3,Sweeper
824451,2026-04-18,Batter_2,Sweeper
824451,2026-04-18,Batter_1,Sinker
822827,2026-04-24,Inning_3_leadoff,Sweeper
822827,2026-04-24,Inning_2_leadoff,Cutter
822827,2026-04-24,Batter_3,Curveball
822827,2026-04-24,Batter_2,Sweeper
822827,2026-04-24,Batter_1,4-Seam Fastball
824445,2026-04-29,Inning_3_leadoff,Sinker
824445,2026-04-29,Inning_2_leadoff,Sweeper
824445,2026-04-29,Batter_3,4-Seam Fastball
824445,2026-04-29,Batter_2,Sinker
824445,2026-04-29,Batter_1,4-Seam Fastball
824119,2026-05-05,Inning_3_leadoff,Sweeper
824119,2026-05-05,Inning_2_leadoff,Sweeper
824119,2026-05-05,Batter_3,Sweeper
824119,2026-05-05,Batter_2,Sweeper
824119,2026-05-05,Batter_1,Sinker
824440,2026-05-10,Inning_3_leadoff,Cutter
824440,2026-05-10,Inning_2_leadoff,4-Seam Fastball
824440,2026-05-10,Batter_3,Sweeper
824440,2026-05-10,Batter_2,4-Seam Fastball
824440,2026-05-10,Batter_1,Sinker
824436,2026-05-17,Inning_3_leadoff,Sinker
824436,2026-05-17,Inning_2_leadoff,4-Seam Fastball
824436,2026-05-17,Batter_3,4-Seam Fastball
824436,2026-05-17,Batter_2,4-Seam Fastball
824436,2026-05-17,Batter_1,4-Seam Fastball
823461,2026-05-22,Inning_3_leadoff,4-Seam Fastball
823461,2026-05-22,Inning_2_leadoff,4-Seam Fastball
823461,2026-05-22,Batter_3,Sinker
823461,2026-05-22,Batter_2,Cutter
823461,2026-05-22,Batter_1,Sinker
824432,2026-05-27,Inning_3_leadoff,Cutter
824432,2026-05-27,Inning_2_leadoff,4-Seam Fastball
824432,2026-05-27,Batter_3,Sinker
824432,2026-05-27,Batter_2,Sinker
824432,2026-05-27,Batter_1,Curveball
823540,2026-06-03,Inning_3_leadoff,Cutter
823540,2026-06-03,Inning_2_leadoff,Curveball
823540,2026-06-03,Batter_3,Cutter
823540,2026-06-03,Batter_2,Curveball
823540,2026-06-03,Batter_1,4-Seam Fastball
824427,2026-06-08,Inning_3_leadoff,Sinker
824427,2026-06-08,Inning_2_leadoff,Curveball
824427,2026-06-08,Batter_3,Cutter
824427,2026-06-08,Batter_2,Curveball
824427,2026-06-08,Batter_1,Sinker
823774,2026-06-17,Inning_3_leadoff,Sinker
823774,2026-06-17,Inning_2_leadoff,Sinker
823774,2026-06-17,Batter_3,Sinker
823774,2026-06-17,Batter_2,Sinker
823774,2026-06-17,Batter_1,Sinker
