bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,48.4
Batter_1,Curveball,2,6.5
Batter_1,Cutter,2,6.5
Batter_1,Sinker,12,38.7
Batter_2,4-Seam Fastball,9,29.0
Batter_2,Curveball,7,22.6
Batter_2,Cutter,2,6.5
Batter_2,Sinker,7,22.6
Batter_2,Sweeper,6,19.4
Batter_3,4-Seam Fastball,10,32.3
Batter_3,Curveball,6,19.4
Batter_3,Cutter,5,16.1
Batter_3,Sinker,4,12.9
Batter_3,Sweeper,6,19.4
Inning_2_leadoff,4-Seam Fastball,13,41.9
Inning_2_leadoff,Curveball,10,32.3
Inning_2_leadoff,Cutter,1,3.2
Inning_2_leadoff,Sinker,1,3.2
Inning_2_leadoff,Sweeper,6,19.4
Inning_3_leadoff,4-Seam Fastball,8,26.7
Inning_3_leadoff,Curveball,4,13.3
Inning_3_leadoff,Cutter,4,13.3
Inning_3_leadoff,Sinker,10,33.3
Inning_3_leadoff,Sweeper,4,13.3
