game_pk,game_date,bucket,pitch_name
823162,2026-03-27,Inning_3_leadoff,Sinker
823162,2026-03-27,Inning_2_leadoff,Cutter
823162,2026-03-27,Batter_3,4-Seam Fastball
823162,2026-03-27,Batter_2,4-Seam Fastball
823162,2026-03-27,Batter_1,Sinker
823157,2026-04-01,Inning_3_leadoff,4-Seam Fastball
823157,2026-04-01,Inning_2_leadoff,4-Seam Fastball
823157,2026-04-01,Batter_3,Knuckle Curve
823157,2026-04-01,Batter_2,Sinker
823157,2026-04-01,Batter_1,4-Seam Fastball
822916,2026-04-07,Inning_3_leadoff,Sweeper
822916,2026-04-07,Inning_2_leadoff,Sinker
822916,2026-04-07,Batter_3,4-Seam Fastball
822916,2026-04-07,Batter_2,Sinker
822916,2026-04-07,Batter_1,4-Seam Fastball
823153,2026-04-13,Inning_3_leadoff,Sweeper
823153,2026-04-13,Inning_2_leadoff,Sweeper
823153,2026-04-13,Batter_3,4-Seam Fastball
823153,2026-04-13,Batter_2,4-Seam Fastball
823153,2026-04-13,Batter_1,Sinker
823151,2026-04-18,Inning_3_leadoff,Sweeper
823151,2026-04-18,Inning_2_leadoff,4-Seam Fastball
823151,2026-04-18,Batter_3,4-Seam Fastball
823151,2026-04-18,Batter_2,4-Seam Fastball
823151,2026-04-18,Batter_1,4-Seam Fastball
823069,2026-04-24,Inning_3_leadoff,4-Seam Fastball
823069,2026-04-24,Inning_2_leadoff,4-Seam Fastball
823069,2026-04-24,Batter_3,Knuckle Curve
823069,2026-04-24,Batter_2,Sinker
823069,2026-04-24,Batter_1,4-Seam Fastball
823717,2026-04-29,Inning_3_leadoff,Sinker
823717,2026-04-29,Inning_2_leadoff,Knuckle Curve
823717,2026-04-29,Batter_3,Changeup
823717,2026-04-29,Batter_2,4-Seam Fastball
823717,2026-04-29,Batter_1,Sinker
823142,2026-05-05,Inning_3_leadoff,Sweeper
823142,2026-05-05,Inning_2_leadoff,Knuckle Curve
823142,2026-05-05,Batter_3,4-Seam Fastball
823142,2026-05-05,Batter_2,Sweeper
823142,2026-05-05,Batter_1,4-Seam Fastball
824199,2026-05-11,Inning_3_leadoff,Sinker
824199,2026-05-11,Inning_2_leadoff,4-Seam Fastball
824199,2026-05-11,Batter_3,Sweeper
824199,2026-05-11,Batter_2,Sweeper
824199,2026-05-11,Batter_1,Sinker
823138,2026-05-17,Inning_3_leadoff,Sweeper
823138,2026-05-17,Inning_2_leadoff,Sweeper
823138,2026-05-17,Batter_3,4-Seam Fastball
823138,2026-05-17,Batter_2,Sweeper
823138,2026-05-17,Batter_1,Sinker
824109,2026-05-23,Inning_3_leadoff,Sweeper
824109,2026-05-23,Inning_2_leadoff,4-Seam Fastball
824109,2026-05-23,Batter_3,Knuckle Curve
824109,2026-05-23,Batter_2,Sweeper
824109,2026-05-23,Batter_1,Sinker
823135,2026-05-29,Inning_3_leadoff,4-Seam Fastball
823135,2026-05-29,Inning_2_leadoff,Sinker
823135,2026-05-29,Batter_3,4-Seam Fastball
823135,2026-05-29,Batter_2,4-Seam Fastball
823135,2026-05-29,Batter_1,4-Seam Fastball
823130,2026-06-03,Inning_3_leadoff,Sinker
823130,2026-06-03,Inning_2_leadoff,4-Seam Fastball
823130,2026-06-03,Batter_3,Knuckle Curve
823130,2026-06-03,Batter_2,Sinker
823130,2026-06-03,Batter_1,4-Seam Fastball
824831,2026-06-10,Inning_3_leadoff,Sweeper
824831,2026-06-10,Inning_2_leadoff,4-Seam Fastball
824831,2026-06-10,Batter_3,Sweeper
824831,2026-06-10,Batter_2,Sinker
824831,2026-06-10,Batter_1,Sinker
823127,2026-06-17,Inning_3_leadoff,Sinker
823127,2026-06-17,Inning_2_leadoff,Sinker
823127,2026-06-17,Batter_3,Sinker
823127,2026-06-17,Batter_2,Sinker
823127,2026-06-17,Batter_1,Sweeper
823365,2026-06-23,Inning_3_leadoff,Sweeper
823365,2026-06-23,Inning_2_leadoff,4-Seam Fastball
823365,2026-06-23,Batter_3,Sinker
823365,2026-06-23,Batter_2,4-Seam Fastball
823365,2026-06-23,Batter_1,4-Seam Fastball
823121,2026-06-29,Inning_3_leadoff,Sweeper
823121,2026-06-29,Inning_2_leadoff,Sinker
823121,2026-06-29,Batter_3,Sweeper
823121,2026-06-29,Batter_2,Sweeper
823121,2026-06-29,Batter_1,Sweeper
