bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,13,48.1
Batter_1,Sinker,11,40.7
Batter_1,Sweeper,3,11.1
Batter_2,4-Seam Fastball,10,37.0
Batter_2,Sinker,11,40.7
Batter_2,Sweeper,6,22.2
Batter_3,4-Seam Fastball,8,29.6
Batter_3,Changeup,1,3.7
Batter_3,Knuckle Curve,6,22.2
Batter_3,Sinker,7,25.9
Batter_3,Sweeper,5,18.5
Inning_2_leadoff,4-Seam Fastball,11,40.7
Inning_2_leadoff,Cutter,3,11.1
Inning_2_leadoff,Knuckle Curve,4,14.8
Inning_2_leadoff,Sinker,7,25.9
Inning_2_leadoff,Sweeper,2,7.4
Inning_3_leadoff,4-Seam Fastball,5,18.5
Inning_3_leadoff,Knuckle Curve,4,14.8
Inning_3_leadoff,Sinker,8,29.6
Inning_3_leadoff,Sweeper,10,37.0
