game_pk,game_date,bucket,pitch_name
824944,2026-03-29,Inning_3_leadoff,Slider
824944,2026-03-29,Inning_2_leadoff,Slider
824944,2026-03-29,Batter_3,4-Seam Fastball
824944,2026-03-29,Batter_2,4-Seam Fastball
824944,2026-03-29,Batter_1,4-Seam Fastball
825103,2026-04-03,Inning_3_leadoff,Sinker
825103,2026-04-03,Inning_2_leadoff,4-Seam Fastball
825103,2026-04-03,Batter_3,4-Seam Fastball
825103,2026-04-03,Batter_2,Slider
825103,2026-04-03,Batter_1,4-Seam Fastball
824050,2026-04-08,Inning_3_leadoff,4-Seam Fastball
824050,2026-04-08,Inning_2_leadoff,4-Seam Fastball
824050,2026-04-08,Batter_3,Slider
824050,2026-04-08,Batter_2,4-Seam Fastball
824050,2026-04-08,Batter_1,4-Seam Fastball
824937,2026-04-13,Inning_3_leadoff,Changeup
824937,2026-04-13,Inning_2_leadoff,4-Seam Fastball
824937,2026-04-13,Batter_3,Sinker
824937,2026-04-13,Batter_2,4-Seam Fastball
824937,2026-04-13,Batter_1,4-Seam Fastball
823475,2026-04-19,Inning_3_leadoff,4-Seam Fastball
823475,2026-04-19,Inning_2_leadoff,4-Seam Fastball
823475,2026-04-19,Batter_3,Slider
823475,2026-04-19,Batter_2,Slider
823475,2026-04-19,Batter_1,Sinker
824932,2026-04-24,Inning_3_leadoff,4-Seam Fastball
824932,2026-04-24,Inning_2_leadoff,4-Seam Fastball
824932,2026-04-24,Batter_3,Slider
824932,2026-04-24,Batter_2,Slider
824932,2026-04-24,Batter_1,4-Seam Fastball
824366,2026-05-01,Inning_3_leadoff,Slider
824366,2026-05-01,Inning_2_leadoff,Curveball
824366,2026-05-01,Batter_3,Slider
824366,2026-05-01,Batter_2,Curveball
824366,2026-05-01,Batter_1,4-Seam Fastball
824927,2026-05-12,Inning_3_leadoff,4-Seam Fastball
824927,2026-05-12,Inning_2_leadoff,4-Seam Fastball
824927,2026-05-12,Batter_3,Sinker
824927,2026-05-12,Batter_2,Cutter
824927,2026-05-12,Batter_1,4-Seam Fastball
824923,2026-05-17,Inning_3_leadoff,4-Seam Fastball
824923,2026-05-17,Inning_2_leadoff,Sinker
824923,2026-05-17,Batter_3,4-Seam Fastball
824923,2026-05-17,Batter_2,Sinker
824923,2026-05-17,Batter_1,4-Seam Fastball
824920,2026-05-23,Inning_3_leadoff,4-Seam Fastball
824920,2026-05-23,Inning_2_leadoff,4-Seam Fastball
824920,2026-05-23,Batter_3,Cutter
824920,2026-05-23,Batter_2,Slider
824920,2026-05-23,Batter_1,4-Seam Fastball
824515,2026-05-29,Inning_3_leadoff,4-Seam Fastball
824515,2026-05-29,Inning_2_leadoff,4-Seam Fastball
824515,2026-05-29,Batter_3,Changeup
824515,2026-05-29,Batter_2,4-Seam Fastball
824515,2026-05-29,Batter_1,Sinker
824917,2026-06-03,Inning_3_leadoff,4-Seam Fastball
824917,2026-06-03,Inning_2_leadoff,Slider
824917,2026-06-03,Batter_3,Slider
824917,2026-06-03,Batter_2,4-Seam Fastball
824917,2026-06-03,Batter_1,4-Seam Fastball
