bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,57.7
Batter_1,Cutter,4,15.4
Batter_1,Sinker,7,26.9
Batter_2,4-Seam Fastball,8,30.8
Batter_2,Curveball,2,7.7
Batter_2,Cutter,2,7.7
Batter_2,Sinker,7,26.9
Batter_2,Slider,7,26.9
Batter_3,4-Seam Fastball,6,23.1
Batter_3,Changeup,1,3.8
Batter_3,Cutter,3,11.5
Batter_3,Sinker,7,26.9
Batter_3,Slider,9,34.6
Inning_2_leadoff,4-Seam Fastball,13,50.0
Inning_2_leadoff,Curveball,2,7.7
Inning_2_leadoff,Cutter,1,3.8
Inning_2_leadoff,Sinker,5,19.2
Inning_2_leadoff,Slider,5,19.2
Inning_3_leadoff,4-Seam Fastball,11,44.0
Inning_3_leadoff,Changeup,1,4.0
Inning_3_leadoff,Curveball,2,8.0
Inning_3_leadoff,Cutter,3,12.0
Inning_3_leadoff,Sinker,4,16.0
Inning_3_leadoff,Slider,4,16.0
