game_pk,game_date,bucket,pitch_name
824034,2026-05-17,Inning_3_leadoff,Curveball
824034,2026-05-17,Inning_2_leadoff,Curveball
824034,2026-05-17,Batter_3,4-Seam Fastball
824034,2026-05-17,Batter_2,Changeup
824034,2026-05-17,Batter_1,4-Seam Fastball
824029,2026-05-22,Inning_3_leadoff,4-Seam Fastball
824029,2026-05-22,Inning_2_leadoff,4-Seam Fastball
824029,2026-05-22,Batter_3,4-Seam Fastball
824029,2026-05-22,Batter_2,4-Seam Fastball
824029,2026-05-22,Batter_1,4-Seam Fastball
824272,2026-05-28,Inning_3_leadoff,Changeup
824272,2026-05-28,Inning_2_leadoff,4-Seam Fastball
824272,2026-05-28,Batter_3,4-Seam Fastball
824272,2026-05-28,Batter_2,Curveball
824026,2026-06-02,Inning_3_leadoff,4-Seam Fastball
824026,2026-06-02,Inning_2_leadoff,Slider
824026,2026-06-02,Batter_3,Curveball
824026,2026-06-02,Batter_2,4-Seam Fastball
824026,2026-06-02,Batter_1,4-Seam Fastball
824025,2026-06-08,Inning_3_leadoff,4-Seam Fastball
824025,2026-06-08,Inning_2_leadoff,Curveball
824025,2026-06-08,Batter_3,Curveball
824025,2026-06-08,Batter_2,4-Seam Fastball
824025,2026-06-08,Batter_1,4-Seam Fastball
824021,2026-06-14,Inning_3_leadoff,4-Seam Fastball
824021,2026-06-14,Inning_2_leadoff,4-Seam Fastball
824021,2026-06-14,Batter_3,4-Seam Fastball
824021,2026-06-14,Batter_2,4-Seam Fastball
824021,2026-06-14,Batter_1,4-Seam Fastball
823685,2026-07-10,Inning_3_leadoff,4-Seam Fastball
823685,2026-07-10,Inning_2_leadoff,4-Seam Fastball
823685,2026-07-10,Batter_3,4-Seam Fastball
823685,2026-07-10,Batter_2,4-Seam Fastball
823685,2026-07-10,Batter_1,4-Seam Fastball
