game_pk,game_date,bucket,pitch_name
823307,2026-05-03,Inning_3_leadoff,4-Seam Fastball
823307,2026-05-03,Inning_2_leadoff,Changeup
823307,2026-05-03,Batter_3,4-Seam Fastball
823307,2026-05-03,Batter_2,Cutter
823307,2026-05-03,Batter_1,4-Seam Fastball
823303,2026-05-08,Inning_3_leadoff,4-Seam Fastball
823303,2026-05-08,Inning_2_leadoff,Changeup
823303,2026-05-08,Batter_3,Slider
823303,2026-05-08,Batter_2,Slider
823303,2026-05-08,Batter_1,4-Seam Fastball
823789,2026-05-14,Inning_2_leadoff,Slider
823789,2026-05-14,Batter_3,Slider
823789,2026-05-14,Batter_2,4-Seam Fastball
823789,2026-05-14,Batter_1,4-Seam Fastball
823302,2026-05-19,Inning_3_leadoff,Sweeper
823302,2026-05-19,Inning_2_leadoff,Knuckle Curve
823302,2026-05-19,Batter_3,Slider
823302,2026-05-19,Batter_2,4-Seam Fastball
823302,2026-05-19,Batter_1,4-Seam Fastball
823296,2026-05-25,Inning_3_leadoff,4-Seam Fastball
823296,2026-05-25,Inning_2_leadoff,4-Seam Fastball
823296,2026-05-25,Batter_3,Slider
823296,2026-05-25,Batter_2,Sinker
823296,2026-05-25,Batter_1,4-Seam Fastball
822729,2026-05-31,Inning_3_leadoff,Knuckle Curve
822729,2026-05-31,Inning_2_leadoff,Knuckle Curve
822729,2026-05-31,Batter_3,4-Seam Fastball
822729,2026-05-31,Batter_2,4-Seam Fastball
822729,2026-05-31,Batter_1,Sinker
823292,2026-06-06,Inning_3_leadoff,Knuckle Curve
823292,2026-06-06,Inning_2_leadoff,Slider
823292,2026-06-06,Batter_3,Slider
823292,2026-06-06,Batter_2,Slider
823292,2026-06-06,Batter_1,4-Seam Fastball
