bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,7,87.5
Batter_1,Sinker,1,12.5
Batter_2,4-Seam Fastball,4,50.0
Batter_2,Cutter,1,12.5
Batter_2,Sinker,1,12.5
Batter_2,Slider,2,25.0
Batter_3,4-Seam Fastball,3,37.5
Batter_3,Slider,5,62.5
Inning_2_leadoff,4-Seam Fastball,1,12.5
Inning_2_leadoff,Changeup,2,25.0
Inning_2_leadoff,Knuckle Curve,2,25.0
Inning_2_leadoff,Slider,3,37.5
Inning_3_leadoff,4-Seam Fastball,3,42.9
Inning_3_leadoff,Knuckle Curve,2,28.6
Inning_3_leadoff,Slider,1,14.3
Inning_3_leadoff,Sweeper,1,14.3
